ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
171121	Sulfurihydrogenibium subterraneum	nan	62,5	Bacteria	Aquificota	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium
108007	Thermanaerovibrio velox	nan	62,5	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio
1449080	Thermus amyloliquefaciens	nan	62,5	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
89784	Alicyclobacillus hesperidum	nan	61,5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
1156395	Dissulfuribacter thermophilus	nan	61	Bacteria	Thermodesulfobacteriota	Dissulfuribacteria	Dissulfuribacterales	Dissulfuribacteraceae	Dissulfuribacter
1094508	Thermoanaerobacterium saccharolyticum	JW/SL-YS485, DSM 8691	60	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
858215	Thermoanaerobacterium xylanolyticum	LX-11, DSM 7097	60	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterium
1111068	Geobacillus thermokeovorans	CCB_US3_UF5	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
153151	Geobacillus toebii	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
1173302	Anoxybacillus kaynarcensis	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
301148	Caldibacillus debilis	nan	60	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Caldibacillus
880073	Caldithrix abyssi	LF13, DSM 13497	60	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix
659425	Clostridium caenicola	DSM 19027	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Thermoclostridium
515264	Caloramator australicus	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Caloramator
1323370	Caloranaerobacter ferrireducens	nan	60	Bacteria	Bacillota	Tissierellia	Tissierellales	Thermohalobacteraceae	Caloranaerobacter
285110	Carboxydocella sporoproducens	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella
152526	Caminibacter hydrogeniphilus	nan	60	Bacteria	Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Caminibacter
570855	Marinitoga litoralis	nan	60	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga
185139	Rubrobacter taiwanensis	nan	60	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter
873078	Thermosyntropha tengcongensis	nan	60	Bacteria	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Thermosyntropha
504728	Meiothermus ruber	DSM 1279	60	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
1930763	Thermus caldifontis	nan	60	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus
86166	Thermodesulfovibrio aggregans	nan	60	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio
1573172	Deferrisoma palaeochoriense	nan	60	Bacteria	Thermodesulfobacteriota	Deferrisomatia	Deferrisomatales	Deferrisomataceae	Deferrisoma
744873	Carboxydocella manganica	nan	59	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVI. Incertae Sedis	Carboxydocella
281456	Thermincola ferriacetica	nan	58,5	Bacteria	Bacillota	Clostridia	Eubacteriales	Thermincolaceae	Thermincola
182411	Anaerobranca californiensis	nan	58	Bacteria	Bacillota	Clostridia	Eubacteriales	Proteinivoraceae	Anaerobranca
81408	Geobacillus caldoxylosilyticus	nan	57,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Parageobacillus
169283	Geobacillus lituanicus	nan	57,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
33940	Geobacillus thermodenitrificans	nan	57,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Geobacillus
198467	Anoxybacillus gonensis	nan	57,5	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
1424653	Cetia pacifica	nan	57,5	Bacteria	Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Caminibacter
389480	Marinitoga okinawensis	nan	57,5	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga
411923	Moorella perchloratireducens	nan	57,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
515440	Oceanotoga teriensis	nan	56,5	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Oceanotoga
1560	Moorella thermoautotrophica	nan	56,5	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella
351607	Acidothermus cellulolyticus	11B	55	Bacteria	Actinomycetota	Actinomycetes	Acidothermales	Acidothermaceae	Acidothermus
575178	Anoxybacillus calidus	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
651866	Anoxybacillus eryuanensis	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
674972	Microaerobacter geothermalis	nan	55	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Microaerobacter
