CCUG Number	cond
62929T	Blood agar, aerobic, 30-37°C
62918T	Marine agar, aerobic, 30°C, 2 days
62919T	Marine agar, aerobic, 30°C, 2 days
62895T	Blood agar, aerobic, 30-37°C, 24h
62813T	R2A, aerobic, 37°C, 2-3 days
62814T	R2A, aerobic, 30-37°C, 2-3 days
62791T	Marine agar, aerobic, 28°C, 7 days
62792T	Marine agar, aerobic, 30°C, 3 days
62793T	Marine agar, aerobic, 30°C, 2-3 days
62794T	Marine agar, aerobic, 30°C, 2 days
62762T	R2A agar, aerobic, 37°C, 3-4d
62763T	R2A agar, aerobic, 37°C, 1-2d
62764T	R2A agar, aerobic, 30-37°C, 3-4d
62765T	R2A agar, aerobic, 30-37°C, 3-4d
62727T	Blood agar, aerobic, 37°C
62728T	Blood agar, aerobic, 37°C
62683T	Chocolate or blood agar, CO2, 37°C, 3-5days
62640T	Chocolate agar, CO2, 37°C
62657T	Blood agar, aerobic, 37°C
62631T	Chocolate agar, anaerobic, 37°C, 48h
62543T	Marine agar, aerobic, 56°C
62540T	TGE agar, aerobic, 20°C, 4-5 days
62505T	Blood agar, aerobic, 30°C, 48h
62507T	Blood agar, aerobic, 30°C, 48h
62476T	Blood agar, aerobic, 30°C
62415T	Special salt-agar medium, aerobic, 30°C, 3-4 weeks
62421T	Blood agar, aerobic 37°C, 24h
62426T	Blood agar, aerobic 37°C, 24h
62433T	Blood agar, aerobic 37°C, 24h
62438T	Blood agar, aerobic 37°C, 24h
62444T	Blood agar, aerobic 37°C, 24h
62449T	Blood agar, aerobic, 37°C, 24h
62454T	Blood agar, aerobic, 30°C, 24h
62410T	Chocolate agar, aerobic, 37°C
62411T	Blood agar, aerobic, 30°C
62412T	Marine agar, aerobic, 30°C
62413T	Marine agar, aerobic, 30°C
62414T	Marine agar, aerobic, 30°C, 3 days
62394T	Blood or TSA agar, aerobic, 30°C
62387T	Blood or chocolate agar, CO2, 37°C
62278T	R2A agar, 30°C, 2 days
62266T	Chocolate agar, CO2, 37°C
62224T	Marine agar with solid NaCl spread over the surface, aerobic, 30°C, 3 days
62221T	Marine agar, aerobic, 30°C, 48h
62214T	Blood agar, aerobic, 30°C, 48h
62215T	Marine agar, aerobic, 30°C, 3 days
62216T	Marine agar, aerobic, Room temperature, 48h
62217T	Marine agar, aerobic, 30°C, 48h
62218T	Marine agar, aerobic, 30°C, 24h
62198T	TSA agar, aerobic, 30°C
62186T	Blood agar, aerobic, 30°C
62181T	Blood agar, aerobic, 37°C
