CCUG Number	cond
48299T	Chocolate agar, anaerobic, 37°C, 3 days
48253T	TSA, aerobic, 30°C, 48 hours
48245T	Chocolate agar, CO2, 37°C, 48-72h
48231T	NA
48214T	Blood agar, aerobic, 30°C
48215T	Blood agar, aerobic, 30°C
48216T	Blood agar, aerobic, 30°C
48205T	Blood agar or TSA, aerobic, 30°C
48174T	Chocolate agar or blood agar, anaerobic, 37°C, 48h
48175T	Low nutrient agar, aerobic, 26°C
48177T	Blood agar, aerobic, 30-37°C
48178T	Blood agar, aerobic, 30-37°C, 48h
48115T	Chocolate agar, CO2, 37°C
48100T	Blood agar, CO2, 37°C
48084T	Blood agar, anaerobic, 37°C, 4 days
48064T	Chocolate agar, anaerobic, 37°C, 48 hours
48041T	.., aerobic, ..°C
48037T	Blood agar, CO2, 37°C
48038T	NA
48039T	TSA, aerobic, 30-37°C
48040T	Nutrient agar, aerobic, 30-42°C
48005T	Marine agar, aerobic, 30°C, 48h
48006T	Blood agar or Marine agar, aerobic, 30°C, 48h
48008T	Marine agar, aerobic, 30°C, 48h
48009T	Marine agar, aerobic, 30°C, 48h
48011T	Marine agar, aerobic, 30°C, 48h
47987T	Marine agar, aerobic, 30°C, 4 days
47968T	Legionella medium, CO2, 3 days or BCYE agar, CO2, 72h
47953T	Löwenstein-Jensen or 7H10 agar, CO2, 30-37°C, 2-3 days
47954T	Chocolate agar, anaerobic, 37°C, >48h, very fastidious
48294T	Nutrient agar, aerobic, 30°C
48297T	Chocolate agar, CO2, 37°C
47857T	Blood agar, aerobic, 24-48h
47831T	Blood agar, CO2, 37°C
47806T	Blood agar/chocolate agar, aerobic, 37°C
48289T	Blood agar, anaerobic, 30-37°C
48292T	Blood agar, anaerobic, 37°C
47790T	Chocolate agar, anaerobic, 37°C, 72h
47791T	Blood agar, microaerophilic, 37°C
47794T	Chocolate agar, anaerobic, 3 days
47767T	Blood agar, anaerobic, 37°C, fastidious
47727T	Nutrient agar, aerobic, 37°C
47711T	FAA agar, anaerobic, 37°C, 48h
47700T	Chocolate agar/blood agar, anaerobic, 37°C
47701T	Chocolate agar/blood agar, anaerobic, 37°C, 6 days (growth may be stimulated by contaminants)
47702T	Chocolate agar/blood agar, anaerobic, 37°C
47703T	Chocolate agar, anaerobic, 37°C, 48h
47753T	Chocolate agar, anaerobic, 37°C, 48h
47689T	NA
47691T	Glucose-yeast extract-CaCO3 agar, aerobic, 28°C
47674T	Blood agar, aerobic, 30-37°C
47675T	Blood agar, aerobic, 30-42°C
47677T	Nutrient agar, aerobic, 30°C
47620T	Chocolate agar or blood agar, anaerobic, 37°C, 2-3 days
47580T	Blood agar, aerobic, 37°C, 48h
47581T	Blood agar, aerobic, 37-42°C
47582T	Blood agar, aerobic, 37°C, 48h
47583T	Blood agar, aerobic, 37°C, 48h
47584T	Blood agar, aerobic, 37-42°C, 48h
47536T	Blood agar, CO2, 37°C
47537T	Blood agar, CO2, 37°C
47525T	Blood agar, aerobic, 37°C
47520T	Blood agar, CO2, 37°C
47503T	Blood agar, anaerobic, 37°C
47504T	Blood agar, anaerobic, 37°C
47505T	Blood agar, anaerobic, 37°C
47497T	Chocolate agar, CO2, 37°C, 72-96h
47493T	Chocolate agar, anaerobic, 37°C, 24h
47487T	Blood agar, aerobic, 37°C
47488T	Löwenstein-Jensen, aerobic, 37°C, 4 days
47444T	Blood agar, aerobic, 30-37°C
47445T	Löwenstein-Jensen or 7H10 agar, aerobic, 30°C, 4-5 days
47446T	Middlebrook 7H10, aerobic, 37°C, 12-17 days
47447T	Blood agar, aerobic, 30°C, 3 days
47448T	Nutrient agar, aerobic, 30-42°C
47449T	Blood agar, aerobic, 37°C
47451T	Trypto Casein Soy agar, aerobic, 30°C
47452T	NA
47417T	Blood agar (or marine agar), aerobic, 22°C, (0-5% NaCl)
47178T	Blood agar, aerobic, 30°C, 48h
47378T	nan
47334T	Chocolate agar, CO2 or anaerobic, 37°C
47306T	Blood agar, aerobic or anaerobic, 30-37°C
47294T	Blood agar, aerobic or CO2, 30-37°C
47286T	7H10 agar or blood agar, aerobic, 30°C, 3 days
47262T	TSA, aerobic, 30-37°C
47265T	Marine agar or blood agar, aerobic, 22-30°C, 48h
47266T	NA
47268T	TSA or blood agar, aerobic, 37°C
47242T	Blood agar, 37°C
47198T	Nutrient agar, aerobic, 30°C
47199T	Nutrient agar, 22-42°C
47200T	Nutrient agar or blood agar, aerobic, 30-37°C
47201T	Nutrient agar, aerobic, 25-37°C
47179T	Blood agar, aerobic, 30°C
47180 AT	NA
47155T	Blood agar, CO2, 37°C
47163T	Blood agar, microaerophilic, 37-42°C, 48-72h
47165T	Chocolate agar (or BHI agar), aerobic, 22-30-(37)°C
47166T	Chocolate agar, CO2, 37°, 48h
47168T	Blood agar, CO2, 48-72h
47136T	Nutrient agar, aerobic, 22-40°C, 24h
47137T	Trypto Casein Soja Agar, aerobic, 18°C
47138T	Blood agar, CO2, 37°C
47139T	TSA, aerobic, 30°C, no groth at 37°C
47140T	TSA, aerobic, 30°C
47141T	TSA medium, aerobic, 30°C, 24h
47142T	Nutrient agar, aerobic, 26-37°C
47127T	Blood agar or chocolate agar, aerobic, 30°C
47128T	Nutrient agar, aerobic, 30°C
47129T	MRS agar, anaerobic, 37°C
47130T	Chocolate agar, CO2, 37°C
47131T	Chocolate agar, anaerobic, 37°C, 3days
47132T	Chocolate or blood agar, strict anaerobic, 37°C, 48-72h, fastidious
47133T	MRS agar (or chocolate agar), anaerobic, 30°C
47134T	Chocolate agar or MRS agar, anaerobic, 30°C
47103T	TSA or Blood agar, aerobic, 30-42°C, 3 days
47104T	Nutrient agar, aerobic, 30°C
47105T	Blood agar or nutrient agar, aerobic, 20-37°C
47106T	Blood agar/chocolate agar, anaerobic, 37°C, 72h
47080T	Marine agar, aerobic, 22-25°C
47083T	Marine agar, aerobic, 22-25°C
47084T	Marine agar, aerobic, 25-28°C
47091T	Marine agar, aerobic, 22-30°C
47093T	Marine agar, aerobic, 25-28°C
47094T	Marine agar, aerobic, 25-28°C
47095T	Marine agar, aerobic, 25-28°C
47098T	Marine agar, aerobic, 30°C
47099T	Marine agar, aerobic, 25-28°C
47100T	Marine agar, aerobic, 30°C
47101T	Marine agar or blood agar, aerobic, 30°C
47057T	Nutrient agar, aerobic, 30-37°C
47062T	Nutrient agar, aerobic, 30-42°C
47026T	Blood agar or chocolate agar, strict anaerobic, 37°C, very fastidious
46999T	Nutrient or blood agar, aerobic, 30°C
47000T	Nutrient agar, aerobic, 30-37°C
46963T	Chocolate agar, CO2, 37°C
46959T	TSA, aerobic, 28°C, may die off rather quickly
46960T	Blood agar, anaerobic, 37°C, 4 days
46953T	Blood agar, anaerobic, 37°C, 24h
46924T	Chocolate agar or TSA, aerobic, 30-37°C
46925T	Blood agar, aerobic, 28-37°C
46887T	Nutrient agar, aerobic, 30-37°C
46888T	Blood agar or nutrient agar, aerobic, 30°C
46890T	Nutrient agar, aerobic, 30-37°C
46891T	R2A, aerobic, 22-30°C
46822T	Nutrient agar, aerobic, 30-37°C
46823T	Nutrient agar, aerobic, 30-37°C
46828T	TGE agar or blood agar, aerobic, 30°C, 5 days
46789T	Nutrient agar, aerobic, 30-42°C
46809T	Blood agar, aerobic, 30-41°C
46758T	Blood agar or chocolate agar, aerobic, 30-37°C
43828T	Chocolate agar, CO2, 72h
46668T	Fastidious anaerobe agar (FAA), anaerobic, 37-41°C, 3 days, exposure to oxygen should not exceed 30-60 minutes
45653T	Nutrient agar, aerobic, 37-42°C
46665T	Nutrient agar, aerobic, 28°C
46666T	Blood agar(or MRS), aerobic(or CO2, or anaerobic), 37°C
46620T	Blood agar, aerobic, 37°C
46622T	Legionella medium, CO2, 37°C
46601T	Blood agar, aerobic, 37°C, 24-48h
46604T	Nutrient agar or Blood agar, aerobic, 37-42°C, 24h
46608T	Blood agar, CO2, 37°C or MRS agar, anaerobic, 37°C
46590T	Blood agar, anaerobic, 37°C
46591T	Blood agar, anaerobic, 37°C
46592T	Blood agar, anaerobic, 37°C
46556T	MRS agar, aerobic, 30°C
46557T	MRS agar or blood agar, aerobic or anaerobic, 30-37°C
46560T	BHI or TSA agar, aerobic, 37°C
46540T	Blood agar, aerobic, 30°C
46543T	Blood agar, aerobic, 30°C
46544T	Nutrient agar, aerobic, 30-(37)°C
46511T	Blood agar, aerobic, 37°C
46510T	Chocolate agar, anaerobic, 37°C
46494T	NA
46433T	Blood agar, aerobic, 30°C (will NOT grow at 37°C)
46407T	Blood agar, CO2, 37°C
46398T	NA
46377T	Chocolate agar, CO2, 37°C
46379T	Blood agar, CO2, 37°C
46380T	Chocolate agar or blood agar, anaerobic, 37°C
46381T	Blood agar, anaerobic, 37°C
46382T	Chocolate agar, anaerobic, 37°C
46385T	Chocolate agar, anaerobic, 37°C, 3 days
46362T	NA
46352T	7H10 agar, aerobic, 30-37°C, 10 days
46354T	Blood agar, aerobic, 30°C
46355T	NA
46357T	Chocolate agar, anaerobic, 37°C, 48h
46295T	Blood agar, aerobic, 30°C, 48h
46296T	NA
46293T	Chocolate agar, CO2 or Blood agar, aerobic, 37°C
46279T	Blood agar, anaerobic, 37°C, 3 days
46266T	Löwenstein-Jensen, aerobic, 31°C, >3 days
46254T	Blood agar, anaerobic, 37°C
46240T	Blood agar, aerobic, 37°C
46211T	Nutrient agar, aerobic, 30-37°C
46148T	NA
46149T	NA
46150T	Blood agar, CO2, 37°C
46115T	NA
46116T	7H10 agar, aerobic, 30°C, 5-7 days
46117T	Chocolate agar, aerobic, 30-37°C
46118T	Nutrient agar, aerobic, 37-42°C
46119T	Chocolate agar, aerobic, 30°C, 48-72h
46120T	Nutrient agar, 30-37°C
46121T	Blood agar, aerobic, 30°C
46122T	TSA, aerobic, 28-37°C
46090T	Chocolate agar/blood agar, anaerobic, 37°C
46091T	Chocolate agar/blood agar, CO2, 37°C
46092T	Chocolate agar/blood agar, CO2, 37°C
46093T	Chocolate agar, anaerobic, 37°C
46096T	Müller-Hinton agar, aerobic, 30°C
46075T	Blood agar, anaerobic, 37°C
46077T	Chocolate agar, anaerobic, 37°C
46042T	Blood or MRS or Chocolate agaer, aerobic/anaerobic, 20-30°C, 48h
46043T	TSA, aerobic, 30°C
46044T	Nutrient agar (or blood agar), 28°C
46047T	Blood agar, aerobic, 30-37°C
46020T	NA
46016T	Blood agar, 30-37°C
45998 AT	Nutrient agar, aerobic, 30-37°C
45998 BT	Nutrient agar, aerobic, 30-37°C
45952T	Chocolate agar, anaerobic, 37°C, 48-72h
45937T	NA
45938T	Blood agar or TSA, aerobic, 30°C
45939T	Mueller-Hinton agar, aerobic, 37°C, 48h
45913T	Nutrient agar, aerobic, 30-37°C
45916T	Nutrient agar, aerobic, 30-37°C
45919T	Blood agar, CO2, 37°C
45920T	Legionella medium, CO2, 37°C
45921T	Legionella medium, CO2, 37°C
45864T	Blood agar, anaerobic, 35°C, 48-72 h
45847T	R2A or PYG-medium, 20-26°C
45804T	Chocolate agar, CO2, 37°C
45813T	Nutrient agar, aerobic, 37-42°C
45774T	NA
45778T	Chocolate agar, CO2, 37°C, 72h
45779T	Chocolate agar, CO2, 37°C, 3 days
45780T	Chocolate agar, anaerobic, 37°C, 78h
45781T	NA
45782T	Chocolate agar, CO2, 37°C, 48h
45783T	Nutrient agar or blood agar, aerobic, 30-37°C
45722T	Chocolate agar or MRS agar, anaerobic, 37°C
45704T	Blood agar, aerobic, 37°C
45688T	Blood agar, aerobic, 37°C
45679T	Blood agar, aerobic, 30°C
45680T	Blood agar, aerobic, 37°C
45566T	TSA medium, aerobic, 28-37°C
45559T	Nutrient agar, aerobic, 30°C
45560T	Nutrient agar, aerobic, 30-42°C
45561T	Nutrient agar, 30°C
45553T	Blood agar, aerobic, 37°C
45554T	Blood agar, aerobic, 37°C
45512T	Blood agar, aerobic, 37°C
45454T	Marine Agar, aerobic, 25-37°C
45438T	Chocolate agar (or blood agar), anaerobic or CO2, 37°C, 2-3 days
45425T	Blood agar, CO2, 37°C
45418T	NA
45419T	Blood agar (or MRS agar), aerobic (or anaerobic), 37°C
45422T	Chocolate agar, CO2, 37°C
45377T	TSA, aerobic, 28-37-(42)°C
45363T	Chocolate agar, anaerobic, 37°C, 48h
45364T	NA
45365T	TSA, aerobic, 30°C, 72h
45367T	NA
45368T	Blood agar, anaerobic, 37°C, 2-3 days
45369T	Blood agar, aerobic, 28-37°C
45370T	MRS agar, anaerobic, 30-37°C
45246T	Blood agar or TSA, aerobic, 30°C, or nutrient agar, aerobic, 25°C
45295T	Chocolate agar, anaerobic, 37°C
45296T	Blood agar, anaerobic, 37°C
45371T	Blood agar or chocolate agar, strict anaerobic, 37°C
45213T	Blood agar, anaerobic, 37°C
45217T	Blood agar, anaerobic, 37°C
45225T	Nutrient agar, 30-42°C
45212T	Chocolate agar (or blood agar), anaerobic, 37°C
45161T	Blood agar, strict anaerobic, 37°C, >72h, very fastidious, Fastidious Anaerobe agar w/5% blood recommended by the depositor
45153T	R2A (or Legionella medium), aerobic, 30°C, 48h
45055T	Blood agar, anaerobic, 37°C
45016T	NA
45019T	NA
45020T	NA
45021T	Low-nutrient-medium, +riboflavin
45022T	Nutrient agar, aerobic, 20-37°C
45025T	NA
45026T	Blood agar, aerobic, 37°C
45027T	NA
45028T	Nutrient agar, aerobic, 30-37°C
44997T	Blood agar or chocolate agar, anaerobic, 37°C
44998T	Blood agar or chocolate agar, anaerobic (or microaerophilic), 37°C
44979T	NA
44952 AT	Marine agar, aerobic, 30°C
44923T	Legionella agar, CO2, 37°C
44924T	Legionella agar, CO2, 37°C
44928T	NA
44929T	Nutrient agar, aerobic, 30-37°C
44932T	Chocolate agar, anaerobic, 37°C
44933T	Chocolate or blood agar, anaerobic, 37°C, 2-3 days
44910T	Alkaline PPYG agar, aerobic, 25°C or TSA, aerobic, 30°C
44893T	Legionella medium, CO2, 37°C
44894T	Legionella medium, CO2, 37°C
44895T	Legionella medium, CO2, 37°C
44899T	Legionella medium, CO2, 37°C
44900T	Legionella medium, CO2, 37°C
44901T	Legionella medium, CO2, 37°C
44773T	Chocolate agar (or blood agar), anaerobic, 37°C, very fastidious
44697T	Blood agar, anaerobic or chocolate agar, CO2, 37°C
44693T	TGE or Sabouraud agar, aerobic, 30°C
44615T	NA
44616T	Blood agar, 37°C, 48h
44586T	Blood agar, anaerobic, 37°C, 72h
44588T	Chocolate or blood agar, anaerobic, 37°C
44589T	Chocolate agar, CO2, 30°C
44556T	Chocolate agar, anaerobic, 37°C
44526T	TSA, aerobic, 28-37°C
44527T	LB+50mg/l Km, 28°C or blood agar, aerobic, 30°C
44566T	Blood agar, aerobic, 22-42°C
44360T	Chocolate agar, CO2, 72h
44487T	NA
44488T	Blood agar, aerobic, 30°C
44496T	Marine agar, aerobic, 30°C
44467T	Blood agar, microaerophilic, 37-42°C, 2-4 days
44425T	NA
44365T	NA
44356T	Blood agar or TGE agar, aerobic, 30°C
44338T	Nutrient agar or blood agar, aerobic, 28-42°C, 2-3 days
43885T	Legionella medium, aerobic, 30°C
43886T	Legionella medium, aerobic, 30°C
43887T	Legionella medium, aerobic, 30C°
43843T	Blood agar, aerobic, 30-37°C
43834T	Blood agar, aerobic, 30-37°C
43820T	Blood agar, CO2, 37°C
43811T	Blood agar, aerobic, 30-37°C
43812T	Blood agar, aerobic, 30-37°C
43803T	Blood agar, CO2, 37°C
43658T	Blood agar, aerobic, 30°C
43663T	Blood agar or TSA medium, aerobic, 30°C, 2-3 days
43639T	NA
43571T	Blood agar, aerobic, 30-37°C
43573T	Chocolate agar, CO2, 37°C
43574T	Löwenstein-Jensen medium, aerobic, 37°C, 4 days(will grow on blood agar)
43575T	MRS agar, anaerobic, 30-37°C
43576T	Marine agar, aerobic, 26°C
43577T	Blood agar, CO2, 37°C
43519T	Nutrient agar, aerobic, 30°C
43506T	Blood or chocolate agar, anaerobic, 37°C
43489T	Blood agar or nutrient agar, aerobic, 25-37°C
43497T	Blood agar, aerobic, 30-37°C, (Marine agar, aerobic, 30°C(CIP))
43504T	NA
43455T	Blood agar, aerobic, 37°C
43457T	Blood agar, CO2 or anaerobic, 37°C
43448T	Nutrient agar, aerobic, 37°C
43427 AT	NA
43347T	MRS agar, anaerobic, 30°C, 2-3 days
43349T	Blood agar or MRS agar, CO2 or anaerobic, 37°C
43303T	Nutrient agar, aerobic, 22-30°C
43304T	Blood agar, aerobic, 22°C
43305T	NA
43279T	Nutrient agar, aerobic, 22-42°C
43283T	Chocolate agar or MRS agar with cysteine HCl, anaerobic, 28-30°C, 96h, Sabouraud agar, anaerobic, 30°C, 72h recommended
43288T	Nutrient agar, aerobic, 22-37°C
43291T	Medium with 8% NaCl, pH=7.5, aerobic, 35°C
43228T	Blood agar, aerobic, 37°C
43229T	Blood agar, aerobic, 37°C
43190T	Nutrient agar, aerobic, 30°C
43191T	Blood agar, aerobic, 30°C
43179T	MRS agar, anaerobic, 37°C
43164T	Nutrient agar, aerobic, 30°C
43165T	Nutrient agar, aerobic, 30°C
43135T	TGY, aerobic, 20°C
43136T	Blood agar or TGY, aerobic, 20°C
43137T	Nutrient agar, aerobic, 28°C
43140T	Nutrient agar, aerobic, 22°C
43141T	Blood agar, aerobic, 30°C
43142T	Chocolate agar, aerobic, 28-37°C
43143T	Chocolate agar, CO2, 37°C or nutrient agar, aerobic, 28-37°C
43144T	Malt agar, aerobic, 30°C
43108T	Legionella medium, aerobic, 30°C
43111T	Legionella medium, aerobic, 30°C, 48-72h
43117T	Legionella medium, aerobic, 30°C
43096T	NA
43067T	Blood agar, CO2, 37°C
43036T	Chocolate agar, CO2, 37°C
43001T	NA
42953T	Blood agar, aerobic, 30-37°C
42894T	NA
42882T	Blood agar, CO2
42847T	NA
42781T	Blood agar, aerobic, 22°-30°C
42773T	Blood agar, CO2 or anaerobic, 37°C
42722T	Blood agar, aerobic, 37°C
42726T	Blood agar or chocolate agar, CO2 or anaerobic, 37°C
42728T	Blood agar, CO2, 37°C
42692T	Blood agar, aerobic, 37°C
42575T	Blood agar, CO2, 37°C
42559T	7H10 agar or Löwenstein-Jensen, 37°C, 12 days
42422T	7h10 agar, CO2, 37°C, 5-7 days
42427T	Löwenstein-Jensen, 37°CSUPPLY
42429T	7H10 agar, CO2, 37°C, 3-5 days
42430T	NA
42431T	7H10 agar, aerobic, 37°C, 4-5 days
42399T	Nutrient agar or blood agar, aerobic, 30°C
42378T	Chocolate or blood agar, CO2, 37-42°C
42358T	NA
42229T	Chocolate agar or blood agar, anaerobic, 37°C
42231T	TSA, aerobic, 28°C
42236T	NA
42182 CT	Blood agar, anaerobic, 37°C
42162T	Chocolate or blood agar, anaerobic, 37°C
44007T	NA
42058T	Nutrient agar, aerobic, 30°C
42059T	Nutrient agar, aerobic, 30°C
42060T	Nutrient agar, aerobic, 30°C
42038 BT	Blood agar, CO2, 37°C
42000T	Chocolate agar, anaerobic, 37°C, 48h
42001T	MRS agar, anaerobic, 30°C
41967T	NA
41932T	Blood agar, anaerobic, 37°C
41934T	Chocolate agar or blood agar, anaerobic, 37°C
41875T	Blood agar, aerobic, 30-37°C
41877T	TSA, aerobic, 37°C
41880T	MRS agar+10% NaCl, anaerobic, 37°C
41859T	Nutrient agar, aerobic, 30-37°C
41823T	Nutrient agar, aerobic, 25-37°C
41755T	NA
41706T	NA
41708T	Blood agar, CO2, 37°C
41709T	Blood agar, CO2, 37°C
41710T	Blood agar, CO2, 37°C
41656T	Chocolate agar, CO2, 37°C
41658T	Chocolate agar, CO2, 37°C
41660T	NA
41628T	Chocolate agar, anaerobic, 37°C
41590T	Chocolate agar, CO2, 37°C
41547T	NA
41526T	Nutrient agar, aerobic, 30°C
41527T	Nutrient agar, aerobic, 30°C
41451T	Nutrient agar, aerobic, 33-42°C
41384T	Blood agar, aerobic, 37°C
41390T	MRS agar, anaerobic, 48h
41352T	Löwenstein-Jensen medium, CO2, 37°C, 2-3 days
41355T	Chocolate agar, CO2, 37°C
41358T	Blood agar, anaerobic, 37°C
41363T	Blood agar, CO2, 37°C
39967T	Blood agar, aerobic, 37°C, 48-72h
39970T	NA
39971T	NA
39954T	Blood agar, CO2, 37°C
39938T	NA
39943T	Blood agar, aerobic, 30-37°C
39919T	Löwenstein-Jensen, 37°C
39901T	MRS agar, anaerobic, 37-45°C
39902T	Blood agar, aerobic, 37°C
39903T	Blood agar, aerobic, 37°C
39904T	Blood agar, anaerobic, 37°C
39814T	Blood agar, CO2, 37°C
39817T	Blood agar, CO2, 37°C
39790T	Nutrient agar, aerobic, 25-42°C
39779T	NA
39728T	TSA, aerobic, 30°C, 2-4 days
39713T	Extremely fastidious, more than most of the strains we have examined.Chocolate agar, anaerobic, 5 days
39621T	Nutrient agar, aerobic, 30°C, >24h
39541T	Nutrient agar, aerobic, 30-37°C
39500T	Blood agar, microaerophilic, 37°C
39501T	Chocloate agar, anaerobic, 37°C, 2-3 days
39504T	Chocolate agar or 7H10 agar, CO2, 37°C
39507T	NA
39508T	Nutrient agar, aerobic, 37°C
39484T	Blood agar, anaerobic, 37°C
39485T	Blood agar, 30-37°C, 24h
39489T	Fastidious, should be incubated for 3-4 days(depositor)|Blood agar, CO2, 24h|Grows well(CCUG)
39465T	Blood agar or MRS agar, anaerobic or CO2, 37°C, 48h
39466T	MRS agar, anaerobic, 30°C
39468T	MRS agar, anaerobic, 30°, 72h
39402T	Blood agar, aerobic, 30°C
39412T	BHI agar or Trypticase Soy agar, aerobic, 30-37°C
39350T	NA
39352T	Blood agar, aerobic, 37°C
39353T	NA
39354T	NA
39356T	Nutrient agar, aerobic, 30°C
39307T	Blood agar, strict aerobic, 37°C
39276T	Blood agar (or chocolate agar), anaerobic (or CO2), 37°, 24-48h
39178T	Blood agar or chocolate agar, aerobic, 22-30°C
39179T	BHI or blood agar, aerobic, 30°C
39180T	Blood agar, 30°C
39182T	NA
39183T	NA
39184T	NA
39185T	Löwenstein-Jensen medium or Middlebrook 7H10 agar, 37°C
39186T	Blood agar, aerobic, 30°C
39187T	Blood agar, aerobic, 30-37°C
39188T	NA
39159T	Blood agar, CO2, 37°C
39064T	NA
39029T	V factor-dependent
38995 BT	Blood agar, microaerophilic, 37°C, 48-72h
38953T	Chocolate agar, anaerobic, 37°C
38949T	Chocolate agar, CO2, 24h
38923T	V factor-dependent
38924T	Chocolate agar, CO2, 37°C, V factor-dependent
38894T	NA
38895T	NA
38896T	NA
38886T	Nutrient agar or blood agar, aerobic, 30°C
38887T	Chocolate agar, CO2, 30-37°C or MRS-agar, anaerobic, 30°C
38889T	Staphylococcus medium, aerobic, 30-37°C, needs at least 6% NaCl
38890T	TGE agar, aerobic, 30-37°C
38891T	NA
38980T	NA
38833T	Blood agar or nutrient agar, aerobic, 26-30°C
38813T	Nutrient agar, aerobic, 30°C, no growth at 37°C
38796T	Nutrient agar, aerobic, 25-37°C
38799T	Casein(10g)-yeast extract(5g)-glucose(5g)-NaCl(5g), with 5%blood, aerobic, 30°C
38742T	NA
38759T	NA
38766T	Nutrient agar (or blood agar), aerobic, 30°C
38731T	Blood agar, aerobic, 30-37°C
38732T	NA
38733T	NA
38734T	Blood agar, anaerobic, 37°C
38735T	Blood agar, strict anaerobic, 37°C, 48h
38736T	Nutrient agar, aerobic, 26-37°C
38702T	Chocolate medium, CO2, 37°C
38657T	Nutrient agar, (chocolate or blood agar), aerobic, 37°C, 2-4 days
38654T	NA
38531T	NA
38513T	Blood agar, microaerophilic, 37-42°C
38516T	Blood agar, 37°C, CO2, 48-72h
38517T	Blood agar, aerobic, 30-37°C
38518T	NA
38491T	NA
38492T	Blood agar, anaerobic, 37°C
38494T	Blood agar, aerobic, 37°C
38496T	MRS agar, aerobic, 30°C (or anaerobic).Sparce growth on blood agar
38497T	Nutrient agar, aerobic, 22-37°C
38498T	Nutrient agar, aerobic, 30-37°C
38499T	Blood agar, aerobic, 30-37°C
38457T	NA
38462T	NA
38470T	NA
38440T	NA
38400T	NA
38401T	NA
38408T	NA
38412T	NA
38422T	Sabouraud agar, 30°C
38424T	Blood agar, nutrient agar or marine agar, aerobic, 30°C
38425T	Blood agar (or marine agar), aerobic, 26-30°C
38428T	Blood agar, aerobic, 20-22°C
38360T	NA
38363T	TSA, aerobic, 30-37°C
38365T	NA
38318T	NA
38312T	NA
38267T	Blood agar, CO2
38205T	NA
38207T	Chocolate agar (or blood agar), CO2 NOT anaerobic
38194T	Blood agar, aerobic, 37°C
38180T	Blood agar, CO2, 37°C, Strict aerobic
38151T	7H10 agar, aerobic, 30°C, 4 days
38120T	NA
38042T	Blood agar, aerobic, 37°C
37979T	Blood agar, anaerobic, 37°C.Does not grow on blood agar aerobically in CO2
37980T	TSA or malt extract agar, aerobic, 30°C
37984T	Fast growing
37985T	Chocolate agar, CO2 or anaerobic, 37°C
37986T	TGE agar, aerobic, 37°C, >72h
37987T	TGE agar, aerobic, 37°C, >72h
37988T	Nutrient agar, 30°C
37974T	Blood agar, aerobic, 30°C
37873T	Nutrient agar, aerobic, 20-42°C
37874T	NA
37877T	NA
37857T	Blood agar, aerobic, 37°C
37865T	Blood agar, CO2, 37°C
37866T	Blood agar, 37°C
37868T	NA
37842T	Chocolate agar, CO2, 37°C
37843T	Blood agar, anaerobic, 37°C, 48-72h
37817T	NA
37820T	NA
37823T	Blood agar, aerobic, 30-37°C
37824T	NA
37761T	7H10 agar, CO2, 37°C, 21-28 days
37664T	NA
37665T	7H10 agar or chocolate agar, aerobic, 30-37°C
37667T	NA
37668T	Löwenstein-Jensen or 7H10 agar, aerobic, 37°C, 3 days
37669T	7H10 agar, aerobic, 30°C, 3 days
37670T	Nutrient agar, aerobic, 30-37°C, 48h
37671T	Chocolate agar or nutrient agar, aerobic, 30-37°C, 48h (rapidly growing)
37672T	7H10 agar, aerobic or CO2, 30-37°C
37673 BT	7H10 agar, CO2, 37°C
37674T	Nutrient agar, aerobic, 30-42°C, 48h
37675T	7h10 agar, aerobic, 37°C, 7 days
37658T	Chocolate agar or blood agar, CO2, 37°C
37660T	Blood agar, CO2, 37°C
37509T	Sabouraud agar, aerobic, 30°C
37583T	NA
37584T	Chocolate agar, aerobic, 30°C, 48h
37585T	7H10 agar, aerobic, 30°C, 3days, no growth at 37°C
37586T	NA
37512T	Streptomyces medium(malt extract), Blood agar or nutrient agar, aerobic, 30°C, 48-72h|No growth on malt agar
37513T	Blood agar, aerobic, 22-37°C, 48h
37514T	Löwenstein-Jensen or 7H10, CO2, 37°C, 4-5 days
37515T	Löwenstein-Jensen or Middelbrook 7H10 agar, CO2, 37°C, >3 days
37517T	Löwenstein-Jensen or 7H10-agar, 37°C, 10 days.No growth on blood agar
37519T	Löwenstein-Jensen medium or Middelbrook medium, aerobic, 37-55°C, rapidly growing
37482T	MRS agar, anaerobic, no growth in CO2 or on chocolate agar
37441T	Chocolate agar, anaerobic (or CO2), 37°C
37419T	NA
37421T	NA
37394T	Nutrient agar or TSA, aerobic, 20°C(Psychrotrophic), no growth at 30°C
37396T	Blood agar or MRS agar, aerobic or anaerobic, 37°C
37380T	Chocolate agar, CO2, 48h
37336T	NA
37330T	Blood agar, aerobic, 37°C
37331T	Blood agar, aerobic, 37°C.Fastidious
37313T	Blood agar, aerobic, 37°C
37300T	NA
37301T	Marine agar or blood agar, 37°C
37257T	NA
37246T	Blood agar, microaerophilic(CCM), or aerobic, or CO2(ATCC), 37°C
37248T	Blood agar, aerobic, 37°C
36956T	TSA, aerobic, 30°C
36972T	Nutrient agar, aerobic, 37°C
36974T	Yeast glucose agar, aerobic, 37°C
36975T	Blood agar, aerobic, 37°C
36913T	NA
36914T	TGE agar, aerobic, 30°C
36915T	R2A or blood agar, aerobic, 30°C, 48h
36916T	R2A agar, aerobic, 30°C
36886T	Blood agar or chocolate agar, anaerobic, 37°C
36887T	NA
