Name	Strain	Temp	Source_ID	Genome
Aspergillus brasiliensis	IMI 149007	26	CECT 2574
Aspergillus tubingensis	IMI 31283	24	CECT 2575	
Eurotium amstelodami	IMI 17455	24	CECT 2586	
Emericella violacea	IMI 61449	24	CECT 2587	
Penicillium griseofulvum	IMI 75832	24	CECT 2605	
Trichoderma orientale	NBT 12	24	CECT 2606	
Rasamsonia emersonii	IMI 116815	40	CECT 2607	
Neurospora crassa	IMI 53239	26	CECT 2619	
Neurospora crassa	FGSC 487	26	CECT 2621	
Neurospora crassa	FGSC 488	26	CECT 2622	
Neurospora crassa	FGSC 3515	26	CECT 2623	
Neurospora crassa	FGSC 3516	26	CECT 2624	
Neurospora sitophila	IMI 21944	24	CECT 2630	
Mucor mucedo	IMI 103731	24	CECT 2653	
Mucor circinelloides	ATCC 24905	26	CECT 2655	
Aureobasidium melanogenum	CBS 105.22	26	CECT 2658	
Aureobasidium pullulans		24	CECT 2660	
Alternaria alternata	IMI 89344	24	CECT 2662	
Aspergillus terreus	IMI 45543	26	CECT 2663	
Aspergillus versicolor	IMI 49124	24	CECT 2664	
Cladosporium allicinum	IMI 49630	24	CECT 2665	
Bipolaris bicolor	IMI 118839	24	CECT 2667	
Penicillium chrysogenum	IMI 37767	24	CECT 2668	
Penicillium chrysogenum	Ferrer BIC-1	24	CECT 2669	
Mucor racemosus	IMI 114891	24	CECT 2670	
Rhizopus arrhizus	IMI 61269	24	CECT 2672	
Aspergillus clavatus	IMI 54399	24	CECT 2673	
Aspergillus clavatus	DSM 816	24	CECT 2674	GCF_000002715.2
Chaetomium globosum	IMI 107512	24	CECT 2677	
Aspergillus parasiticus	IMI 120920	24	CECT 2680	
Aspergillus parasiticus	NRRL 2999	24	CECT 2681	
Aspergillus parasiticus	NRRL 3145	24	CECT 2682	
Aspergillus flavus	NRRL 6412	26	CECT 2684	
Aspergillus flavus		26	CECT 2685	
Aspergillus flavus	NRRL 6541	24	CECT 2686	
Aspergillus flavus	NRRL 6540	24	CECT 2687	
Aspergillus parasiticus	NRRL 3386	24	CECT 2688	
Aspergillus parasiticus	ATCC 36537	24	CECT 2689	
Aspergillus parasiticus		24	CECT 2690	
Verticillium albo-atrum	IMI 62131	24	CECT 2693	
Verticillium dahliae	CBS 381.66	24	CECT 2694	
Gibellulopsis nigrescens	IMI 118380	24	CECT 2696	
Aspergillus brasiliensis	IMI 91855	24	CECT 2700	
Chaetomium globosum	IMI 45550	24	CECT 2701	
Talaromyces pinophilus	IMI 87160	24	CECT 2702	
Aureobasidium melanogenum	IMI 145194	24	CECT 2703	
Beauveria bassiana	IMI 12939	24	CECT 2704	
Cordyceps fumosorosea	IMI 58433	24	CECT 2705	
Albifimbria verrucaria	IMI 44743	24	CECT 2713	
Fusarium oxysporum	IMI 141140	24	CECT 2715	
Exserohilum rostratum	IMI 76563	24	CECT 2716	
Acremonium chrysogenum	IMI 91579	24	CECT 2718	
Acremonium chrysogenum	Pisano 3C	24	CECT 2719	
Ceratocystis adiposa	IMI 99465	24	CECT 2720	
Acremonium chrysogenum	Lein C-10	24	CECT 2721	
Disporotrichum dimorphosporum	J395	24	CECT 2722	
Acremonium chrysogenum		24	CECT 2723	GCA_000769265.1
Venturia pyrina	IMI 61539	20	CECT 2725	
Neurospora crassa		26	CECT 2727	
Neurospora crassa		26	CECT 2728	
Neurospora crassa		26	CECT 2729	
Neurospora crassa		26	CECT 2730	
Clonostachys chloroleuca	IMI 40022	24	CECT 2733	
Trichoderma virens	IMI 146935	24	CECT 2734	
Penicillium raistrickii	Quintanilla 1012	24	CECT 2735	
Penicillium raistrickii	Quintanilla 1024	24	CECT 2736	
Penicillium raistrickii	Quintanilla 1036	24	CECT 2737	
Penicillium mariae-crucis	Quintanilla 957	24	CECT 2738	
Penicillium mariae-crucis	Quintanilla 1022	24	CECT 2739	
Penicillium mariae-crucis	Quintanilla 1034	24	CECT 2740	
Penicillium mariae-crucis	Quintanilla 1131	24	CECT 2741	
Penicillium mariae-crucis	Quintanilla 977	24	CECT 2742	
Penicillium mariae-crucis	Quintanilla 990	24	CECT 2743	
Penicillium smithii	Quintanilla 1097	24	CECT 2744	
Penicillium smithii	Quintanilla 1112	24	CECT 2745	
Penicillium simplicissimum	Quintanilla 1111	24	CECT 2746	
Penicillium simplicissimum	Quintanilla 1096	24	CECT 2747	
Aspergillus floccosus	ATCC 11877	24	CECT 2748	
Rhizomucor miehei	IMI 125823	30	CECT 2749	
Fusicoccum tingens	CBS 199.37	24	CECT 2750	
Penicillium sajarovii	Quintanilla 1099	24	CECT 2751	
Penicillium rubefaciens	Quintanilla 1133	24	CECT 2752	
Penicillium roseopurpureum	Quintanilla 1134	24	CECT 2753	
Penicillium soppii	Quintanilla 1150	24	CECT 2754	
Penicillium caerulescens	Quintanilla 1147	24	CECT 2755	
Penicillium caerulescens	Quintanilla 1152	24	CECT 2756	
Podospora pauciseta	wild s	24	CECT 2760	
Penicillium islandicum		24	CECT 2762	
Rhizopus microsporus	CBS 607.73	24	CECT 2763	
Talaromyces coalescens	Quintanilla 1138	24	CECT 2764	
Talaromyces coalescens	Quintanilla 1144	24	CECT 2765	
Talaromyces coalescens	Quintanilla 1179	24	CECT 2766	
Sclerotinia sclerotiorum	IMI 101574	24	CECT 2769	
Talaromyces pittii	Quintanilla 1240	24	CECT 2770	
Talaromyces rademirici	Quintanilla 1248	24	CECT 2771	
Penicillium minioluteum	Quintanilla 1032	24	CECT 2772	
Penicillium minioluteum	Quintanilla 1283	24	CECT 2773	
Rhizopus arrhizus	NRRL 6400	24	CECT 2774	
Aspergillus niger	NRRL 330	24	CECT 2775	
Bipolaris spicifera	CBS 197.31	24	CECT 2776	
Phanerochaete chrysosporium	ATCC 32629	24	CECT 2777	
Aphysiostroma stercorarium	IJFM A-121	24	CECT 2778	
Phanerochaete chrysosporium	DSM 1556	24	CECT 2779	
Trichophyton mentagrophytes		26	CECT 2783	
Penicillium chrysogenum	Ferrer BIC- 8; Wis 49-2105	24	CECT 2784	
Penicillium rubens	Ferrer BIC-11	24	CECT 2785	
Penicillium chrysogenum	Ferrer BIC-12	25	CECT 2786	
Penicillium rubens	Ferrer BIC-13	24	CECT 2787	
Penicillium rubens	Ferrer BIC-14	24	CECT 2788	
Penicillium chrysogenum	Ferrer BIC-16	24	CECT 2789	
Penicillium chrysogenum	Ferrer BIC-17	24	CECT 2790	
Pithoascus schumacheri	IJFM A-281	24	CECT 2792	
Trichophyton mentagrophytes	CBS 570.80	24	CECT 2793	
Trichophyton rubrum	CBS 218.65	24	CECT 2794	
Trichophyton mentagrophytes	CBS 572.75	24	CECT 2795	
Epidermophyton floccosum	CBS 240.67	30	CECT 2796	
Arthroderma otae	CBS 643.74	28	CECT 2797	
Phanerochaete chrysosporium	CBS 481.73	26	CECT 2798	
Sporothrix pallida	CBS 302.73	26	CECT 2799	
Melanospora tiffanyae	ATCC 15515	24	CECT 2800	
Aspergillus hennebergii	CBS 118.35	24	CECT 2801	
Penicillium rubens	Ferrer BIC-127	24	CECT 2802	
Byssochlamys spectabilis	CBS 102.74	24	CECT 2803	
Stachybotrys chartarum	CBS 182.80	26	CECT 2804	
Aspergillus niger	VTT D-77050	24	CECT 2805	
Aspergillus niger	VTT D-77053	26	CECT 2806	
Aspergillus niger	DSM 1957	24	CECT 2807	
Aspergillus terreus	DSM 1958	26	CECT 2808	
Penicillium pinophilum	DSM 1944	24	CECT 2809	
Penicillium ochrochloron	DSM 1945	24	CECT 2810	
Penicillium venetum	CBS 201.57	25	CECT 2812	
Thanatephorus cucumeris	CBS 280.36	26	CECT 2813	
Aspergillus amoenus	DSM 1943	24	CECT 2814	
Thanatephorus cucumeris	Alfaro 225	26	CECT 2815	
Rosellinia necatrix	Alfaro 69	24	CECT 2817	
Rosellinia necatrix	Alfaro 136	24	CECT 2818	
Thanatephorus cucumeris	Alfaro 28	26	CECT 2819	
Sclerotinia sclerotiorum	Alfaro 306	24	CECT 2822	
Sclerotinia sclerotiorum	Alfaro 1	24	CECT 2823	
Stromatinia gladioli	Alfaro 445	24	CECT 2824	
Stromatinia gladioli	Alfaro 420	24	CECT 2825	
Stromatinia gladioli	Alfaro 414	24	CECT 2826	
Stromatinia gladioli	Alfaro 326	24	CECT 2827	
Thanatephorus cucumeris		26	CECT 2829	
Emericella corrugata	IMI 212201	24	CECT 2830	
Emericellopsis minima	DSM 925	24	CECT 2831	
Emericella nidulans	BIA 1	24	CECT 2833	
Emericella nidulans	Ferrer BIA 2; Peberdy 2.49	26	CECT 2834	
Epicoccum nigrum	Alfaro 346	24	CECT 2848	
Colletotrichum americae-borealis		24	CECT 2849	
Botryotinia fuckeliana	Alfaro 141	24	CECT 2850	
Botrytis aclada	Alfaro 149	24	CECT 2851	
Cercospora beticola	Alfaro 300	24	CECT 2852	
Colletotrichum coccodes	Alfaro 151	24	CECT 2853	
Colletotrichum nigrum	Alfaro 219	24	CECT 2854	
Colletotrichum nigrum	Alfaro 218	24	CECT 2855	
Colletotrichum circinans	Alfaro 222	24	CECT 2856	
Glomerella cingulata	Alfaro 231	24	CECT 2859	
Glomerella cingulata	Alfaro 228	24	CECT 2860	
Colletotrichum destructivum	Alfaro 354	24	CECT 2861	
Fusarium oxysporum	Alfaro 17	24	CECT 2865	
Fusarium oxysporum	Alfaro 20	24	CECT 2866	
Fusarium oxysporum	Alfaro 16	24	CECT 2867	
Fusarium oxysporum	Alfaro 78	24	CECT 2868	
Fusarium oxysporum	Alfaro 79; Magie 2764A	24	CECT 2869	
Fusarium oxysporum		24	CECT 2870	
Fusarium oxysporum	Alfaro 374	24	CECT 2871	
Colletotrichum sojae	Alfaro 212	24	CECT 2873	
Botryosphaeria dothidea	Alfaro 296	24	CECT 2875	
Pyrenochaeta cava		24	CECT 2876	
Phoma destructiva	Alfaro 516	24	CECT 2877	
Didymella heteroderae	Alfaro 399	24	CECT 2878	
Didymella pomorum	Alfaro 116	24	CECT 2880	
Diaporthe ambigua	Alfaro 247	24	CECT 2881	
Diaporthe ambigua		24	CECT 2882	
Verticillium dahliae	Alfaro 411	24	CECT 2884	
Penicillium chrysogenum		24	CECT 2885	
Penicillium novae-zeelandiae		24	CECT 2886	
Aspergillus wentii		24	CECT 2887	
Penicillium burgense	Quintanilla 1538	24	CECT 2889	
Aspergillus versicolor	NRRL 573	26	CECT 2890	
Trichophyton benhamiae	CBS 280.83	24	CECT 2891	
Trichophyton benhamiae	CBS 623.66	24	CECT 2892	
Trichophyton benhamiae	CBS 624.66	24	CECT 2893	
Trichophyton benhamiae	CBS 807.72	24	CECT 2894	
Trichophyton benhamiae	IHEM 4033	26	CECT 2895	
Trichophyton benhamiae	IHEM 3287	24	CECT 2896	
Trichophyton benhamiae	IHEM 3288	24	CECT 2897	
Trichophyton benhamiae	IHEM 4032	24	CECT 2898	
Trichophyton mentagrophytes	IHEM 3289	24	CECT 2899	
Trichophyton mentagrophytes	IHEM 3299	24	CECT 2900	
Trichophyton interdigitale	IHEM 4028	24	CECT 2901	
Trichophyton mentagrophytes	IHEM 4029	24	CECT 2902	
Aspergillus versicolor		24	CECT 2903	
Penicillium roqueforti	IMI 024313	24	CECT 2905	GCA_001599855.1
Aspergillus niger	MUCL 28815	24	CECT 2907	
Nannizzia gypsea	IHEM 3999	26	CECT 2908	
Monascus ruber	DSMZ 1561	24	CECT 2909	
Monascus ruber	IMI 57972	24	CECT 2910	
Talaromyces pinophilus		24	CECT 2911	
Talaromyces pinophilus	DSM 1960	24	CECT 2912	
Talaromyces amestolkiae		24	CECT 2913	
Talaromyces pinophilus	DSM 62844	24	CECT 2914	
Aspergillus niger	NRRL 567	24	CECT 2915	
Cladosporium pseudocladosporioides		24	CECT 2916	
Aspergillus ostianus	Sanchis 17	25	CECT 2917	
Penicillium polonicum		26	CECT 2918	
Penicillium griseofulvum	Sanchis 2/84/5	26	CECT 2919	
Penicillium griseofulvum		26	CECT 2920	
Trichophyton interdigitale	Emmons NIH 640; EMPA St. Gallen, 334	30	CECT 2921	
Eurotium pseudoglaucum		24	CECT 2922	
Trichoderma afroharzianum	NBT 35	26	CECT 2923	
Trichoderma afroharzianum	NBT 36	24	CECT 2924	
Trichoderma breve	NBT 37	24	CECT 2925	
Trichoderma harzianum	NBT 38	24	CECT 2926	
Trichoderma harzianum	NBT 39	24	CECT 2927	
Trichoderma harzianum	NBT 40	24	CECT 2928	
Trichoderma harzianum	NBT 41	24	CECT 2929	
Trichoderma afroharzianum	NBT 42	24	CECT 2930	
Trichoderma afroharzianum	NBT 43	24	CECT 2931	
Trichoderma afroharzianum	NBT 44	26	CECT 2932	
Trichoderma breve	NBT 45	24	CECT 2933	
Trichoderma koningiopsis	NBT 14	24	CECT 2934	
Trichoderma afroharzianum	NBT 27	24	CECT 2935	
Trichoderma koningii	NBT 13	24	CECT 2936	
Trichoderma longibrachiatum	NBT 16	24	CECT 2937	
Trichoderma viride	NBT 2	24	CECT 2938	
Trichoderma viride	NBT 26	26	CECT 2939	
Trichoderma paraviridescens	NBT 29	26	CECT 2940	
Trichoderma asperellum		24	CECT 2941	
Trichoderma viride	NBT 22	24	CECT 2942	
Trichoderma viride	NBT 23	24	CECT 2943	
Trichoderma viride	NBT 21	24	CECT 2944
Trichoderma afroharzianum	NBT 28	26	CECT 2945
Aspergillus parasiticus		24	CECT 2947	
Aspergillus westerdijkiae	NRRL 3174	24	CECT 2948	
Aspergillus flavus	MUCL 19006	26	CECT 2949	
Talaromyces luteus		24	CECT 2950	
Hirsutella thompsonii	IMI 234140	24	CECT 2951	
Metarhizium anisopliae	MUCL 9815	24	CECT 2952	
Akanthomyces muscarius	MUCL 8115	24	CECT 2953	
Penicillium digitatum		20	CECT 2954	
Monascus purpureus	IMI 210765	30	CECT 2955	
Trichophyton erinacei	Marples FM 10	28	CECT 2956	
Arthroderma vanbreuseghemii	CBS 845.73	28	CECT 2957	
Arthroderma vanbreuseghemii	B 66-7864	28	CECT 2958	
Passalora fulva	MUCL 31665	20	CECT 2961	
Passalora fulva	MUCL 722	20	CECT 2962	
Monosporascus cannonballus		20	CECT 2963	
Phytophthora cinnamomi	IMI 077375	26	CECT 2965	
Schizophyllum commune		26	CECT 2967	
Aspergillus aculeatus		26	CECT 2968	
Aspergillus ochraceus		24	CECT 2969	
Aspergillus ochraceus		24	CECT 2970	
Mycena citricolor	CBS 193.57	24	CECT 2973	
Mortierella cystojenkinii	CBS 696.70	20	CECT 2977	
Mortierella globalpina	CBS 360.70	24	CECT 2978	
Mortierella verticillata	Tubaki E-3-4	24	CECT 2979	
Mortierella amoeboidea	CBS 343.66	24	CECT 2980	
Mortierella alpina	CBS 210.32	24	CECT 2981	
Gibberella moniliformis		26	CECT 2982	
Byssochlamys spectabilis	IMI 108007	24	CECT 2983	
Scopulariopsis brevicaulis	IMI 049528	24	CECT 2984	
Scopulariopsis brevicaulis		24	CECT 2985	
Microascus manginii	Cabañes CCFVB 434	24	CECT 2986	
Gibberella moniliformis	Cabañes F10/5E192	24	CECT 2987	
Arthroderma uncinatum		24	CECT 2988	
Paraphyton mirabile	Cabañes M23	26	CECT 2989	
Microsporum gypseum	Cabañes M60	26	CECT 2990	
Trichophyton ajelloi	Cabañes T2.8al	24	CECT 2991	
Trichophyton verrucosum	Cabañes T16.83/89	24	CECT 2992	
Botryotinia fuckeliana	IMI 124882	24	CECT 2996	
Alternaria linariae	IMI 046816	24	CECT 2997	
Arthroderma quadrifidum		20	CECT 2998	
Arthroderma uncinatum	MUCL 8232	20	CECT 2999	
Rhodococcus fascians	NRRL B-15096	30	CECT 3001	
Dermatophilus congolensis	DSM 43037	37	CECT 3007	
Rhodococcus erythropolis	NCIMB 8147	30	CECT 3008	
Mycobacterium phlei	NCTC 8151	37	CECT 3009	GCA_001582015.1; GCA_001583415.1
Rhodococcus sp	NCIMB 9457	30	CECT 3012	
Rhodococcus erythropolis	NCIMB 9158	30	CECT 3013	GCA_001552595.1
Rhodococcus sp	NCIMB 10554	30	CECT 3014	
Mycobacterium phlei	IFO 3158	37	CECT 3016	
Mycobacterium smegmatis	NCIMB 9953	37	CECT 3017	
Mycobacterium sp	NRRL B-3805	30	CECT 3018	
Mycolicibacterium vaccae	NCIMB 9937	37	CECT 3019	GCA_001552715.1
Mycolicibacterium smegmatis	NCTC 8159	37	CECT 3020	GCA_001457595.1
Mycolicibacterium alvei	CR-21	30	CECT 3021	
Mycolicibacterium brumae	CR-270	37	CECT 3022	GCA_900073015.1; GCA_002553575.2
Mycolicibacterium peregrinum	DSM 43271	37	CECT 3023	GCA_002102345.1
Mycobacterium sp	NCTC 10270	37	CECT 3026	
Mycolicibacterium flavescens	CCTM La 2409	37	CECT 3027	
Mycolicibacter terrae	CCTM La 434	37	CECT 3028	GCA_002101955.1; GCA_900187145.1
Mycobacterium gordonae	CCTM La 587	37	CECT 3029	
Mycobacterium kansasii	CCTM La 2401	37	CECT 3030	GCA_000157895.2
Mycobacterium smegmatis	CCTM La 954	37	CECT 3032	
Mycolicibacterium smegmatis	CIP 73.26	37	CECT 3033	
Mycobacterium colombiense	10B	37	CECT 3035	GCA_000222105.3; GCA_002105755.1
Nocardia farcinica	NCTC 630	30	CECT 3042	
Actinomadura madurae	NCTC 5654	37	CECT 3043	
Pseudonocardia autotrophica	NCIMB 8939	30	CECT 3044	
Rhodococcus rhodochrous	ATCC 4273	30	CECT 3046	
Rhodococcus sp	NCIMB 11216	30	CECT 3048	
Cellulosimicrobium cellulans	ATCC 27402	30	CECT 3050	
Nocardia asteroides	NCTC 11293	30	CECT 3051	GCA_000308355.2
Nocardia brasiliensis	NCTC 11294	30	CECT 3052	GCA_000308475.2
Nocardia farcinica	NCTC 11134	37	CECT 3053	GCA_001182745.2; GCA_001612925.1
Rhodococcus erythropolis	UPV1	30	CECT 3054	
Tsukamurella paurometabola	DSM 20162	30	CECT 3055	GCA_000092225.1
Nocardia nova	NBRC 15556	37	CECT 3056	GCA_001613005.1
Skermania piniformis	DSM 43998	26	CECT 3057	GCA_001552855.1
Streptomyces venezuelae	Rodriguez 11	30	CECT 3069	
Streptomyces phaeochromogenes	NCIMB 8505	30	CECT 3070	GCA_001418655.1
Streptomyces achromogenes	ATCC 12767	30	CECT 3074	GCA_000720835.1
Streptomyces achromogenes	NCIMB 9516	30	CECT 3075	
Streptomyces achromogenes	NCIMB 9753	30	CECT 3076	
Streptomyces albus	NCIMB 9558	30	CECT 3077	
Streptomyces violaceoruber	Hopwood A3(2)	30	CECT 3080	
Streptomyces sp	Peberdy IxMP	30	CECT 3084	
Streptomyces violaceoruber	Kutzner 673	30	CECT 3086	
Micromonospora sp	CBS 270.62	30	CECT 3087	
Micromonospora echinospora	ATCC 15835	30	CECT 3088	
Streptomyces griseus	GM	30	CECT 3102	
Streptomyces griseus	NCTC 7807	30	CECT 3106	
Streptomyces griseus	PSA 62	30	CECT 3107	
Streptomyces venezuelae	NCIMB 8231	30	CECT 3113	
Streptomyces griseus	NCIB 8232	30	CECT 3116	
Streptomyces griseus	NCTC 6962	30	CECT 3117	
Streptomyces scabiei	CMI 99049	30	CECT 3120	
Streptomyces griseus	ATCC 19885	30	CECT 3122	
Streptomyces clavuligerus	ATCC 27064	30	CECT 3125	GCA_000148465.1; GCA_000163875.1; GCA_000154925.1
Streptomyces flavovirens	DSM 40990	30	CECT 3129	
Streptomyces anulatus	ATCC 15860	30	CECT 3130	
Streptomyces fradiae	NCIMB 10812	30	CECT 3131	
Streptomyces glaucescens	ATCC 23622	30	CECT 3133	GCA_002154375.1
Streptomyces glaucescens	ETH 22794	30	CECT 3134	
Streptomyces wellingtoniae	DSM 40632	30	CECT 3136	
Streptomyces mordarskii	DSM 40771	30	CECT 3137	
Streptomyces hygroscopicus	DSM 40821	30	CECT 3138	
Streptomyces ascomycinicus	DSM 40822	30	CECT 3139	
Streptomyces sp	NCIMB 8592	30	CECT 3145	
Streptomyces spectabilis	NCIMB 9733	30	CECT 3146	
Streptomyces flavovirens	CBS 128	30	CECT 3153	
Streptomyces lusitanus	CBS 500.62	30	CECT 3162	
Streptomyces lydicus	DSM 40461	30	CECT 3163	GCA_000717345.1
Streptomyces scabiei	CCM 3197	30	CECT 3167	
Streptomyces odorifer	PSA 104	30	CECT 3178	
Streptomyces flaveolus	PSA 108	30	CECT 3181	
Micromonospora chalcea	CBS 269.62	30	CECT 3195	GCA_002926165.1
Streptomyces violaceus	Muñoz-Ruiz 52	30	CECT 3196	
Streptomyces fradiae	CMI 61202	30	CECT 3197	GCA_002119225.1; GCA_002154445.1
Streptomyces cinnamonensis	ATCC 12308	30	CECT 3198	
Streptomyces cinnamonensis	ATCC 15413	30	CECT 3199	
Saccharopolyspora erythraea	ATCC 11635	30	CECT 3200	GCA_000062885.1; GCA_000171635.1; GCA_002564065.1
Streptomyces griseolus	CBS 344.35	30	CECT 3201	
Streptomyces violaceus	PSA 256	30	CECT 3204	
Streptomyces aureofaciens	PSA 93	30	CECT 3207	
Streptomyces flavovirens	Laborda FL 44	30	CECT 3208	
Streptomyces geysiriensis	CBS 546.70	30	CECT 3209	
Streptomyces ghanaensis	CBS 544.70	30	CECT 3210	GCA_000156435.1
Streptomyces prasinus	ATCC 13879	30	CECT 3211	
Streptomyces ederensis	ATCC 15304	30	CECT 3212	
Streptomyces antibioticus	ATCC 11891	30	CECT 3213	
Streptomyces kanamyceticus	ATCC 21252	30	CECT 3214	
Streptomyces violascens	ATCC 23968	30	CECT 3215	
Streptomyces viridochromogenes	CBS 648.72	30	CECT 3216	
Streptomyces halstedii	CBS 756.72	30	CECT 3217	
Saccharopolyspora rectivirgula	CUB 55	45	CECT 3218	
Thermoactinomyces vulgaris	CUB 749	50	CECT 3219	
Laceyella putida	CUB 731	45	CECT 3220	
Laceyella sacchari	CUB57	50	CECT 3221	
Laceyella sacchari	NCIMB 9780	45	CECT 3222	
Saccharopolyspora rectivirgula	NCIMB 9984	45	CECT 3223	
Streptomyces antibioticus	ETH 13354	30	CECT 3224	
Streptomyces antibioticus	DSM 40234	30	CECT 3225	GCA_001315405.1
Streptomyces albaduncus	DSM 40478	30	CECT 3226	
Streptomyces peucetius	NCIMB 10974	30	CECT 3227	
Streptomyces ardus	CBS 791.72	30	CECT 3228	
Streptomyces flocculus	DSM 40808	30	CECT 3229	
Streptomyces sp	ATCC 15003	30	CECT 3230	
Streptomyces fradiae	CBS 630.71	30	CECT 3231	
Streptomyces antibioticus	DSM 40715	30	CECT 3232	
Streptomyces antibioticus	DSM 40723	30	CECT 3233	
Streptomyces antibioticus	DSM 40725	30	CECT 3234	
Streptomyces violaceus	DSM 40704	30	CECT 3236	
Streptomyces violarus	DSM 40205	30	CECT 3237	GCF_014191845 
Streptomyces albulus	67	30	CECT 3238	
Streptomyces mobaraensis	ATCC 25365	30	CECT 3239	
Streptomyces noursei	ATCC 11455	30	CECT 3240	GCA_001704275.1
Streptomyces noursei	ATCC 21581	30	CECT 3241	
Streptomyces coelicolor	ATCC 10147	30	CECT 3243	
Streptomyces sp	DSM 40434	30	CECT 3244	
Streptomyces wedmorensis	NRRL 3426	30	CECT 3245	GCA_000716445.1
Streptomyces viridochromogenes	NRRL 3415	30	CECT 3246	
Streptomyces sp	NRRL 8089	30	CECT 3247	
Streptomyces netropsis	NCIMB 8936	30	CECT 3248	
Streptomyces hiroshimensis	NRRL 2755	30	CECT 3249	
Streptomyces griseocarneus	NCIMB 9623	30	CECT 3250	
Streptomyces griseocarneus	NRRL 2974	30	CECT 3251	
Streptomyces hygroscopicus	NCIMB 9719	30	CECT 3252	
Streptomyces eurocidicus	DSM 40051	30	CECT 3253	
Streptomyces ardus	DSM 40527	30	CECT 3254	
Streptomyces hiroshimensis	DSM 40845	30	CECT 3255	
Streptomyces hiroshimensis	DSM 40272	30	CECT 3256	
Streptomyces blastmyceticus	DSM 40029	30	CECT 3257	
Streptomyces cinnamoneus	DSM 40005	30	CECT 3258	
Streptomyces eurocidicus	DSM 40604	30	CECT 3259	GCA_002891295.1; 
Streptomyces cinnamoneus	DSM 2011	30	CECT 3260	
Streptomyces hiroshimensis	DSM 40037	30	CECT 3261	
Streptomyces netropsis	DSM 40052	30	CECT 3262	
Streptomyces ladakanus	DSM 40587	30	CECT 3263	
Streptomyces lilacinus	DSM 40254	30	CECT 3264	GCA_000715685.1
Streptomyces netropsis	DSM 40259	30	CECT 3265	
Streptomyces olivoverticillatus	DSM 40250	30	CECT 3266	
Streptomyces orinoci	DSM 40571	30	CECT 3267	GCA_003121295.1
Streptomyces hiroshimensis	DSM 40436	30	CECT 3268	
Streptomyces hiroshimensis	DSM 40039	30	CECT 3269	
Streptomyces alboniger	DSM 40043	30	CECT 3270	GCA_001418385.1
Streptomyces calvus	DSM 40010	30	CECT 3271	
Streptomyces tubercidicus	DSM 40261	30	CECT 3272	
Streptomyces griseostramineus	ATCC 23628	30	CECT 3273	
Streptomyces kurssanovii	ATCC 15824	30	CECT 3274	
Streptomyces badius	ATCC 39117	30	CECT 3275	
Streptomyces griseus	ATCC 39116	30	CECT 3276	
Streptomyces viridosporus	ATCC 39115	30	CECT 3277	
Streptantibioticus cattleyicolor	NRRL 8057	30	CECT 3278	GCA_000240165
Streptomyces lipmanii	NRRL 3584	30	CECT 3279	
Streptomyces avermitilis	NRRL 8165	30	CECT 3280	GCA_000009765.1; GCA_000764715.1; GCA_000968255.1; GCA_001514135.1
Microtetraspora sp	ATCC 31724	30	CECT 3281	
Actinosynnema sp	ATCC 21806	26	CECT 3282	
Actinomadura luteofluorescens	2CG-269	37	CECT 3283	
Nonomuraea pusilla	2CG-135	37	CECT 3284	GCA_900109355.1
Actinoplanes philippinensis	2GC-288	30	CECT 3286	
Actinoplanes campanulatus	2CG-293	30	CECT 3287	
Dactylosporangium aurantiacum	2CG-77	30	CECT 3288	GCA_000716715.1; GCA_000716055.1
Micromonospora aurantiaca	2CG-275	37	CECT 3289	GCA_000145235.1
Micromonospora purpureochromogenes	2CG-143	30	CECT 3291	
Micromonospora sp	2CG-392	30	CECT 3292	
Micromonospora halophytica	2CG-393	30	CECT 3293	
Micromonospora inositola	2CG-386	30	CECT 3294	GCA_900090285.1
Micromonospora inyonensis	2CG-400	30	CECT 3295	GCA_900091415.1
Micromonospora olivasterospora	2GT-158	30	CECT 3296	
Micromonospora purpureochromogenes	2CG-315	30	CECT 3297	GCA_900091515.1
Micromonospora echinospora	2CG-388	30	CECT 3298	
Micromonospora sp	2CG-262	30	CECT 3299	
Microtetraspora glauca	2CG-137	30	CECT 3300	GCA_001570385.1
Nocardioides albus	2CG 136	26	CECT 3302	
Planomonospora venezuelensis	2-CG 79	26	CECT 3303	
Kutzneria viridogrisea	2CG-121	30	CECT 3305	
Streptomyces sp	JCM 4673	30	CECT 3306	
Streptomyces griseofuscus	NCIMB 9821	30	CECT 3307	GCA_000718315.1
Streptomyces sp	NCIMB 11741	30	CECT 3308	
Streptomyces murinus	DSM 40091	30	CECT 3309	GCA_002154555.1
Streptomyces halstedii	JM8	30	CECT 3310	
Streptomyces sp	JM5	30	CECT 3311	
Streptomyces tendae	CBS 35475	30	CECT 3312	
Streptomyces echinatus	NCIB 9598	30	CECT 3313	
Thermobispora bispora	DSM 43038	26	CECT 3314	
Streptomyces aburaviensis	DSM 40033	30	CECT 3315	
Streptomyces atroolivaceus	DSM 40137	30	CECT 3316	GCA_000717025.1
Thermoactinomyces vulgaris	DSM 43016	50	CECT 3317	
Laceyella sacchari	DSM 43047	45	CECT 3318	
Thermobifida fusca	DSM 43792	50	CECT 3320	GCA_001592045.1; GCA_001313945.1
Streptomyces chattanoogensis	DSM 40002	30	CECT 3321	GCA_001294335.1
Streptomyces sp	DSM 40357	30	CECT 3322	
Thermomonospora sp	ULJB1	50	CECT 3323	
