Source_ID	ncbiTaxID	Name	Type	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
84	33995	Gluconacetobacter europaeus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
85	1231352	Komagataeibacter hansenii	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Novacetimonas
85	1231352	Komagataeibacter hansenii	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Novacetimonas
86	28448	Komagataeibacter xylinus	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
86	28448	Komagataeibacter xylinus	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
87	28448	Komagataeibacter xylinus	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
88	1220579	Komagataeibacter xylinus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
88	1220579	Komagataeibacter xylinus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
89	28448	Komagataeibacter xylinus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
89	28448	Komagataeibacter xylinus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
90	28448	Komagataeibacter xylinus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
91	1307938	Komagataeibacter oboediens	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
92	66229	Komagataeibacter intermedius	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
93	1307943	Komagataeibacter swingsii	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
93	1307943	Komagataeibacter swingsii	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
94	215221	Komagataeibacter rhaeticus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
94	215221	Komagataeibacter rhaeticus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
95	1307942	Komagataeibacter sucrofermentans	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
95	1307942	Komagataeibacter sucrofermentans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
