Temp	Name	Strain
32	Spiroplasma citri	
32	Spiroplasma corruscae	
32	Spiroplasma diminutum	
32	Spiroplasma helicoides	
32	Spiroplasma litorale	
32	Spiroplasma syrphidicola	
32,5	Acidithiobacillus ferrooxidans	
32,5	Alteromonas macleodii	
32,5	Burkholderia cepacia	
32,5	Burkholderia gladioli	
32,5	Burkholderia glumae	
32,5	Chromobacterium violaceum	
32,5	Conexibacter woesei	
32,5	Desulfomicrobium baculatum	
32,5	Intrasporangium calvum	
32,5	Methylomonas methanica	
32,5	Mycobacterium abscessus	
32,5	Nocardiopsis dassonvillei	
32,5	Paenibacillus larvae	
32,5	Prauserella marina	
32,5	Rhodobacter capsulatus	
32,5	Rhodospirillum rubrum	
32,5	Rhodovulum sulfidophilum	
32,5	Shewanella putrefaciens	
32,5	Staphylococcus hyicus	
32,5	Staphylococcus simulans	
32,5	Streptomyces avermitilis	
32,5	Tetragenococcus halophilus	
32,5	Thiomonas intermedia	
33	Desulfovibrio africanus	
33	Desulfovibrio desulfuricans	
33	Desulfovibrio salexigens	
33	Desulfovibrio vulgaris	
33	Pelobacter propionicus	
33	Rickettsia africae	
33	Rickettsia australis	
33	Rickettsia conorii	
33	Rickettsia japonica	
33	Rickettsia montanensis	
33	Rickettsia parkeri	
33	Rickettsia rickettsii	
33	Rickettsia slovaca	
33	Segniliparus rotundus	
33	Sulfurospirillum barnesii	
33,5	[Clostridium] cellulolyticum	
33,5	Acidaminococcus fermentans	
33,5	Acidiphilium cryptum	
33,5	Actinomyces meyeri	
33,5	Aminobacter aminovorans	
33,5	Bacteroides caccae	
33,5	Burkholderia thailandensis	
33,5	Clostridium botulinum	
33,5	Clostridium butyricum	
33,5	Clostridium scatologenes	
33,5	Clostridium tyrobutyricum	
33,5	Corynebacterium diphtheriae	
33,5	Corynebacterium maris	
33,5	Dialister pneumosintes	
33,5	Erysipelothrix rhusiopathiae	
33,5	Hyphomonas neptunium	
33,5	Leptospirillum ferrooxidans	
33,5	Listeria innocua	
33,5	Listeria ivanovii	
33,5	Listeria monocytogenes	
33,5	Listeria seeligeri	
33,5	Listeria welshimeri	
33,5	Paenibacillus durus	
33,5	Paenibacillus kribbensis	
33,5	Paenibacillus naphthalenovorans	
33,5	Paracoccus denitrificans	
33,5	Prevotella ruminicola	
33,5	Pseudarthrobacter phenanthrenivorans	
33,5	Rothia mucilaginosa	
33,5	Serratia fonticola	
33,5	Serratia liquefaciens	
33,5	Serratia marcescens	
33,5	Serratia proteamaculans	
33,5	Serratia rubidaea	
33,5	Spirochaeta africana	
33,5	Staphylococcus aureus	
33,5	Staphylococcus epidermidis	
33,5	Thauera chlorobenzoica	
33,5	Veillonella parvula	
34	Dactylococcopsis salina	
34	Moraxella catarrhalis	
34	Moraxella ovis	
34,5	Parachlamydia acanthamoebae	
34,5	Spiroplasma apis	
35	Amphibacillus xylanus	
35	Bacillus amyloliquefaciens	
35	Bartonella tribocorum	
35	Clostridium kluyveri	
35	Clostridium sporogenes	
35	Corynebacterium efficiens	
35	Desulfococcus multivorans	
35	Macrococcus caseolyticus	
35	Melissococcus plutonius	
35	Mycobacterium smegmatis	
35	Neisseria elongata	
35	Nocardia farcinica	
35	Nocardia nova	
35	Pelobacter carbinolicus	
35	Pseudomonas mendocina	
35	Pseudomonas stutzeri	
35	Rickettsia prowazekii	
35	Rickettsia typhi	
35	Roseateles depolymerans	
35	Roseomonas gilardii	
35	Staphylococcus capitis	
35	Staphylococcus haemolyticus	
35	Staphylococcus lugdunensis	
35	Staphylococcus warneri	
35	Syntrophus aciditrophicus	
35	Zobellia galactanivorans	
35,5	Bifidobacterium asteroides	
35,5	Neisseria gonorrhoeae	
35,5	Neisseria lactamica	
36	[Haemophilus] ducreyi	
36	[Haemophilus] parasuis	
36	Actinomyces oris	
36	Actinomyces radicidentis	
36	Bartonella clarridgeiae	
36	Bartonella grahamii	
36	Bartonella henselae	
36	Bartonella quintana	
36	Bartonella vinsonii	
36	Bordetella avium	
36	Bordetella bronchiseptica	
36	Bordetella hinzii	
36	Bordetella holmesii	
36	Bordetella parapertussis	
36	Bordetella pertussis	
36	Bordetella trematum	
36	Campylobacter jejuni	
36	Capnocytophaga canimorsus	
36	Capnocytophaga haemolytica	
36	Capnocytophaga ochracea	
36	Clostridium argentinense	
36	Corynebacterium jeikeium	
36	Desulfotomaculum gibsoniae	
36	Enterococcus casseliflavus	
36	Enterococcus durans	
36	Enterococcus faecalis	
36	Enterococcus faecium	
36	Enterococcus gallinarum	
36	Enterococcus hirae	
36	Enterococcus mundtii	
36	Fusobacterium nucleatum	
36	Gardnerella vaginalis	
36	Haemophilus influenzae	
36	Haemophilus parainfluenzae	
36	Lawsonia intracellularis	
36	Legionella pneumophila	
36	Leptotrichia buccalis	
36	Methylovorus glucosotrophus	
36	Mobiluncus curtisii	
36	Morganella morganii	
36	Nocardia brasiliensis	
36	Ornithobacterium rhinotracheale	
36	Pseudopropionibacterium propionicum	
36	Rothia dentocariosa	
36	Streptobacillus moniliformis	
36	Streptococcus parauberis	
36	Syntrophomonas wolfei	
36	Taylorella equigenitalis	
36	Ureaplasma parvum	
36	Vibrio cholerae	
36,5	Cutibacterium acnes	
36,5	Neisseria meningitidis	
36,5	Ureaplasma urealyticum	
37	[Clostridium] saccharolyticum	
37	[Eubacterium] eligens	
37	[Eubacterium] rectale	
37	[Eubacterium] sulci	
37	Acholeplasma laidlawii	
37	Actinobacillus equuli	
37	Actinobacillus pleuropneumoniae	
37	Actinobacillus succinogenes	
37	Actinobacillus suis	
37	Akkermansia muciniphila	
37	Alistipes finegoldii	
37	Aminobacterium colombiense	
37	Arcanobacterium haemolyticum	
37	Atopobium parvulum	
37	Azospira oryzae	
37	Azospirillum brasilense	
37	Azospirillum lipoferum	
37	Bacillus anthracis	
37	Bacillus cereus	
37	Bacillus thuringiensis	
37	Bacteroides dorei	
37	Bacteroides fragilis	
37	Bacteroides helcogenes	
37	Bacteroides ovatus	
37	Bacteroides thetaiotaomicron	
37	Bacteroides vulgatus	
37	Barnesiella viscericola	
37	Brucella abortus	
37	Brucella canis	
37	Brucella melitensis	
37	Brucella ovis	
37	Brucella suis	
37	Burkholderia mallei	
37	Burkholderia pseudomallei	
37	Campylobacter hominis	
37	Campylobacter sputorum	
37	Chlamydia abortus	
37	Chlamydia felis	
37	Chlamydia muridarum	
