ncbiTaxID	Name	Identifier	Superkingdom	Phylum	Class	Order	Family	Genus
4896	Schizosaccharomyces pombe	schizosaccharomyces_pombe	Eukaryota	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces
5180	Sclerotinia sclerotiorum	Sclerotinia_sclerotiorum	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
75743	Scyliorhinus torazame	scyliorhinus	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Scyliorhinidae	Scyliorhinus
7757	Petromyzon marinus	sealamprey	Eukaryota	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon
2843	Skeletonema costatum	Skeletonema_costatum	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema
5147	Sordaria macrospora	Sordaria_macrospora	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria
2082308	Sphaceloma murrayae	Sphaceloma_murrayae	Eukaryota	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Sphaceloma
1313	Streptococcus pneumoniae	s_pneumoniae	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
7668	Strongylocentrotus purpuratus	strongylocentrotus_purpuratus	Eukaryota	Echinodermata	Echinoidea	Camarodonta	Strongylocentrotidae	Strongylocentrotus
2287	Sulfolobus solfataricus	sulfolobus_solfataricus	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus
4232	Helianthus annuus	sunflower	Eukaryota	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus
59729	Taeniopygia guttata	Taeniopygia_guttata	Eukaryota	Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia
5911	Tetrahymena thermophila	tetrahymena	Eukaryota	Ciliophora	Oligohymenophorea	Hymenostomatida	Tetrahymenidae	Tetrahymena
296543	Thalassiosira pseudonana CCMP1335	Thalassiosira_pseudonana_CCMP1335	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira
119072	Thermoanaerobacter tengcongensis	thermoanaerobacter_tengcongensis	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter
4081	Solanum lycopersicum	tomato	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum
5811	Toxoplasma gondii	toxoplasma	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma
7070	Tribolium castaneum	tribolium2012	Eukaryota	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Tribolium
6334	Trichinella spiralis	trichinella	Eukaryota	Nematoda	Enoplea	Trichinellida	Trichinellidae	Trichinella
10228	Trichoplax adhaerens	Trichoplax_adhaerens	Eukaryota	Placozoa			Trichoplacidae	Trichoplax
5693	Trypanosoma cruzi	Trypanosoma_cruzi	Eukaryota	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma
5270	Ustilago maydis	ustilago_maydis	Eukaryota	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago
27335	Verticillium albo-atrum	verticillium_albo_atrum1	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium
100787	Verticillium longisporum	verticillium_longisporum1	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium
29760	Vitis vinifera	Vitis_vinifera	Eukaryota	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Vitis
1169539	Vitrella brassicaformis	Vitrella_brassicaformis	Eukaryota				Vitrellaceae	Vitrella
3067	Volvox carteri	volvox	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox
4565	Triticum aestivum	wheat	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Triticum
8364	Xenopus tropicalis	Xenopus_tropicalis	Eukaryota	Chordata	Amphibia	Anura	Pipidae	Xenopus
8083	Xiphophorus maculatus	Xiphophorus_maculatus	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus
4952	Yarrowia lipolytica	yarrowia_lipolytica	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia
7955	Danio rerio	zebrafish	Eukaryota	Chordata	Actinopteri	Cypriniformes	Danionidae	Danio
