ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
870730	CECT 11454	Ogataea angusta	nan	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
42374	CECT 11455	Candida dubliniensis	NRRL Y- 17841	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
36911	CECT 11456	Clavispora lusitaniae	NRRL Y- 5393	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
36911	CECT 11457	Clavispora lusitaniae	NRRL Y- 5948	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
36911	CECT 11458	Clavispora lusitaniae	NRRL Y- 11826	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
50263	CECT 11459	Ogataea kodamae	IFO 10090	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
1041609	CECT 11460	Wickerhamomyces lynferdii	IFO 10724	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
45504	CECT 11461	Priceomyces medius	IFO 1824	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Priceomyces
53607	CECT 11463	Cyberlindnera mississippiensis	JCM 1703	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
1156966	CECT 11464	Ogataea methanolica	NCYC 1381	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
984486	CECT 11465	Babjeviella inositovora	NRRL Y-12698	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales		Babjeviella
53492	CECT 11466	Cyberlindnera japonica	NRRL YB-2750	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
53493	CECT 11467	Cyberlindnera meyerae	NRRL Y- 17236	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
131113	CECT 11468	Cyberlindnera misumaiensis	NRRL Y- 27069	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
131113	CECT 11469	Cyberlindnera misumaiensis	NRRL Y- 27082	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
907340	CECT 11470	Williopsis saturnus	IFO 0809	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
53646	CECT 11471	Starmera quercuum	IFO 0949	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Starmera
56407	CECT 11472	Hanseniaspora occidentalis	IFO 1092	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora
42374	CECT 11473	Candida dubliniensis	99/82585	37	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
53649	CECT 11474	Ogataea methylivora	CBS 7300	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
490709	CECT 11475	Ogataea saltuana	CBS 6502	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
53937	CECT 11476	Ogataea nonfermentans	CBS 5764	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
45510	CECT 11477	Yamadazyma philogaea	nan	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma
53658	CECT 11478	Pichia pseudocactophila	CBS 6929	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
121235	CECT 11480	Pichia mandshurica	IGC 5155	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
1337056	CECT 11481	Peterozyma xylosa	NCYC 555	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales		Peterozyma
36026	CECT 11482	Ogataea minuta	JCM 3622	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
53656	CECT 11483	Pichia nakasei	JCM 1699	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
4922	CECT 11484	Komagataella pastoris	JCM 3650	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella
53495	CECT 11485	Cyberlindnera rhodanensis	JCM 3649	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
1337058	CECT 11486	Barnettozyma salicaria	JCM 3653	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Barnettozyma
507511	CECT 11487	Hyphopichia heimii	IFO 1686	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia
4921	CECT 11488	Pichia norvegensis	IFO 1694	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
45509	CECT 11489	Pichia ofunaensis	IFO 10709	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus
36028	CECT 11490	Cyberlindnera petersonii	IFO 1373	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
1378263	CECT 11491	Ogataea philodendri	IFO 1821	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea
36029	CECT 11492	Wickerhamomyces silvicola	JCM 3627	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
1196395	CECT 11493	Peterozyma toletana	JCM 3658	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales		Peterozyma
53604	CECT 11494	Wickerhamomyces strasburgensis	nan	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
4926	CECT 11495	Pichia membranifaciens	CBS 8167	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
45513	CECT 11496	Scheffersomyces spartinae	CBS 6059	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces
36031	CECT 11497	Wickerhamomyces sydowiorum	CBS 5995	25	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
