CCUG Number	Strain	Source	Depositor	Deposit Date
31665T	Clostridium cochlearium		NCIMB, Aberdeen, Scotland, UK	1993-06-29
31649T	Alloscardovia omnicolens	Human tonsil, 25-yr-old woman	K.Ericson, PHL, Kristianstad, Sweden	1993-06-22
31611T	Streptococcus mitis	Human oral cavity	B.Holmes, NCTC, London, UK	1993-06-10
31484T	Rhodobacter capsulatus		D.Janssens, LMG, Gent, Belgium	1993-05-06
31486T	Cereibacter sphaeroides		D.Janssens, LMG, Gent, Belgium	1993-05-06
31450T	Ligilactobacillus agilis	Municipal sewage	B.Phillips, NCFB, Reading, UK	1993-04-29
31451T	Lactobacillus gasseri		B.Phillips, NCFB, Reading, UK	1993-04-29
31452T	Limosilactobacillus vaginalis	Human vagina, patient with trichomoniasis	B.Phillips, NCFB, Reading, UK	1993-04-29
31453T	Ligilactobacillus salivarius	Saliva	B.Phillips, NCFB, Reading, UK	1993-04-29
31454T	Lactobacillus delbrueckii subsp. lactis	Cheese, Swiss Emmenthal	B.Phillips, NCFB, Reading, UK	1993-04-29
31367 #T	Vibrio metschnikovii		M.C.Urdaci, Limoges, France	1993-04-05
31349T	Anaerococcus vaginalis	Human ovarian abscess	T.Nakase, JCM, RIKEN, Japan	1993-03-31
31350T	Peptoniphilus lacrimalis	Human eye discharge	JCM, Japan	1993-03-31
31351T	Anaerococcus lactolyticus	Human vaginal discharge	JCM, Japan	1993-03-31
31352T	Erysipelothrix tonsillarum	Pig, tonsils of healthy animal	JCM, Japan	1993-03-31
31345T	Brevibacillus agri		L.K.Nakamura, NRRL, Peoria, USA	1993-03-30
31347T	Brevibacillus centrosporus		L.K.Nakamura, NRRL, Peoria, USA	1993-03-30
31328T	Clostridium pasteurianum		DSM, Braunschweig, Germany	1993-03-29
31331T	Latilactobacillus sakei subsp. carnosus	Raw sausage	G.Klein & G.Reuter, Berlin, Germany	1993-03-29
31226 AT	Legionella pneumophila subsp. pascullei	Water from shower head	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31228 AT	Legionella shakespearei	Water, cooling tower	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31229 AT	Legionella micdadei	Human blood via yolk sac	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31230 AT	Legionella cincinnatiensis	Human lung tissue	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31231 AT	Legionella adelaidensis	Water, cooling tower	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31232 AT	Legionella hackeliae	Human bronchial biopsy	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31233 AT	Legionella birminghamensis	Human lung biopsy	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31234 AT	Legionella quinlivanii	Water, bus air conditioner	R.F.Benson, CDC, Atlanta, USA	1993-03-06
31192T	Sphingomonas paucimobilis	Hospital respirator	E.Moore, GBF, Braunschweig, Germany	1993-02-19
31198T	Rhizorhabdus wittichii	Water, enrichment with dibenzo-p-dioxin	E.Moore, GBF, Braunschweig, Germany	1993-02-19
31202T	Novosphingobium capsulatum	Distilled water	E.R.B.Moore, GBF, Braunschweig, Germany	1993-02-19
31205T	Sphingobium yanoikuyae	Human	E.Moore, GBF, Braunschweig, Germany	1993-02-19
31166T	Olsenella uli	Human gingival crevice	ATCC, Rockville, USA	1993-02-15
31167T	Atopobium minutum	Perineal abscess	ATCC, Rockville, USA	1993-02-15
31168T	Lancefieldella rimae	Human gingival crevice	ATCC, Rockville, USA	1993-02-15
31170T	Haemophilus felis	Cat respiratory tract exudate, extubated, 6-year-old	ATCC, Rockville, USA	1993-02-15
31114T	Legionella brunensis	Water, cooling water tower	R.J.Owen, NCTC, London, UK	1993-02-01
31115T	Legionella israelensis	Water	R.J.Owen, NCTC, London, UK	1993-02-01
31116T	Legionella maceachernii	Water in home evaporator cooler	R.J.Owen, NCTC, London, UK	1993-02-01
31117T	Legionella moravica	Water, air conditioning cooling tower	R.J.Owen, NCTC, London, UK	1993-02-01
31118T	Legionella spiritensis	Lake water	R.J.Owen, NCTC, London, UK	1993-02-01
31119T	Legionella tucsonensis	Human pleural fluid, 63-year-old man	R.J.Owen, NCTC, London, UK	1993-02-01
30977T	Ideonella dechloratans	Activated sludge, wastewater treatment plant	Å.Malmqvist, ANOX, Lund, Sweden	1993-01-13
30886T	Morganella morganii subsp. sibonii	Human sputum	K.Truberg Jensen, Odense, Denmark	1992-12-16
30811T	Alishewanella fetalis	Human fetus, autopsy	U.-B.Stolt, Akademiska Sjukhuset, Uppsala, Sweden	1992-11-25
30818T	Rhodopseudomonas viridis	River	D.Janssens, LMG, Gent, Belgium	1992-11-25
30791T	Citrobacter youngae	Meat scraps	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30792T	Citrobacter braakii	Snake	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30793T	Citrobacter werkmanii	Human blood	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30794T	Citrobacter sedlakii	Human feces	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30795T	Citrobacter rodentium	Mouse	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30796T	Citrobacter gillenii	Human feces	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30797T	Citrobacter murliniae	Source not known	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30798T	Citrobacter farmeri	Human feces	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30802T	Neisseria elongata subsp. nitroreducens	Human blood	R.E.Weaver, CDC, Atlanta, USA	1992-11-20
30722T	Lactobacillus crispatus	Eye	T.Nakase, JCM, RIKEN, Saitama, Japan	1992-11-03
30723T	Paucilactobacillus vaccinostercus	Cow dung	T.Nakase, JCM, RIKEN, Saitama, Japan	1992-11-03
30724T	Lactobacillus gallinarum	Chicken crop	T.Nakase, JCM, RIKEN, Saitama, Japan	1992-11-03
30725T	Lactobacillus johnsonii	Human blood	T.Nakase, JCM, RIKEN, Saitama, Japan	1992-11-03
30726T	Lactobacillus hamsteri	Hamster feces	T.Nakase, JCM, RIKEN, Saitama, Japan	1992-11-03
30727T	Lactobacillus intestinalis	Rat intestine	T.Nakase, JCM, RIKEN, Saitama, Japan	1992-11-03
30717T	Ochrobactrum pseudogrignonense	Human blood, 28-yr-old man	Blood Dept., PHL, Göteborg, Sweden	1992-11-02
30682T	Campylobacter helveticus	Cat feces	NCTC, London, UK	1992-10-20
30666T	Loigolactobacillus coryniformis subsp. coryniformis	Silage	DSM, Braunschweig, Germany	1992-10-17
30667T	Loigolactobacillus coryniformis subsp. torquens	Air of cow shed	DSM, Braunschweig, Germany	1992-10-17
30668T	Weissella minor	Milking machine slime	DSM, Braunschweig, Germany	1992-10-17
30669T	Latilactobacillus curvatus	Milk	DSM, Braunschweig, Germany	1992-10-17
30670T	Levilactobacillus brevis	Feces	DSM, Braunschweig, Germany	1992-10-17
30671T	Companilactobacillus farciminis	Sausage	DSM, Braunschweig, Germany	1992-10-17
30672T	Companilactobacillus alimentarius	Marinated fish product	DSM, Braunschweig, Germany	1992-10-17
30673T	Lentilactobacillus kefiri	Kefir grains	DSM, Braunschweig, Germany	1992-10-17
30621T	Azospirillum irakense	Oryza sativa, roots	D.Janssens, LMG, Gent, Belgium	1992-10-05
30571T	Enterococcus sulfureus	Plant	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-09-13
30572T	Enterococcus malodoratus	Cheese, Gouda	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-09-13
30551T	Ancylobacter aquaticus	Lake water	DSM, Braunschweig, Germany	1992-09-11
30554T	Simonsiella muelleri	Human	DSM, Braunschweig, Germany	1992-09-11
30555T	Conchiformibius steedae	Dog	DSM, Braunschweig, Germany	1992-09-11
30534T	Clostridium putrefaciens	Spoiled cured ham	NCTC, London, UK	1992-09-08
30535T	Bergeyella zoohelcum	Human sputum	NCTC, London, UK	1992-09-08
30538T	Weeksella virosa	Human urine	NCTC, London, UK	1992-09-08
30540T	Brevibacterium epidermidis	Skin	M.D.Collins, Univ. of Reading, Reading, UK	1992-09-08
30511 AT	Bifidobacterium breve	Human intestine, infant	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1992-09-03
30512 BT	Bifidobacterium longum subsp. infantis	Human intestine, infant	F.Gavini, INSERM, Villeneuve-d'Ascq, France	1992-09-03
30501T	Latilactobacillus sakei subsp. sakei	Sake starter, 'Moto'	B.Phillips, NCFB, Reading, UK	1992-09-01
30502T	Weissella viridescens	Cured meat products	B.Phillips, NCFB, Reading, UK	1992-09-01
30503T	Lactiplantibacillus plantarum	Cabbage, pickled	B.Phillips, NCFB, Reading, UK	1992-09-01
30485T	Arcobacter butzleri	Human feces, diarrhoea	P.Vandamme, LMG, Gent, Belgium	1992-08-25
30453T	Bartonella vinsonii subsp. vinsonii	Spleen of vole	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30454T	Bartonella henselae	Human blood, HIV-positive male	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30455T	Bartonella elizabethae	Human blood, endocarditis	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30456T	Afipia felis	Lymph node, patient with CSD	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30457T	Afipia clevelandensis	Tibial biopsy, male, age 69yr, died	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30458T	Afipia broomeae	Human sputum	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30459T	Afipia genospecies 1	Human pleural fluid, pulmonary obstruction, fatal	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30460T	Afipia genospecies 2	Bronchial washing, woman, age 80 yr	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30461T	Afipia genospecies 3	Water	D.J.Brenner & R.E.Weaver, CDC, Atlanta, USA	1992-08-19
30417T	Streptococcus parasanguinis	Human throat	R.Whiley, LHMC, London, UK	1992-08-01
30450T	Kingella oralis	Supra-gingival plaque, adult periodontitis	F.E.Dewhirst, FDC, Boston, USA	1992-07-23
30340T	Aeromonas eucrenophila	Freshwater fish	E.Gruner, Zürich, Switzerland	1992-07-14
30353T	Aeromonas jandaei	Human stool, diarrhea	E.Gruner, Zürich, Switzerland	1992-07-14
30367T	Aeromonas enteropelogenes	Human stool	E.Gruner, Zürich, Switzerland	1992-07-14
30254T	Campylobacter showae	Human gingival crevice	F.E.Dewhirst, FDC, Boston, USA	1992-06-12
30198T	Leuconostoc gelidum subsp. gelidum	Meat, vacuum packed	B.Phillips, NCFB, Reading, UK	1992-05-27
30199T	Leuconostoc oenos	Wine	B.Phillips, NCFB, Reading, UK	1992-05-27
30202 #T	Schaalia odontolytica	Dental caries	Stares, bioMérieux, Basingstoke, UK	1992-05-27
30156T	Tatumella citrea	Mandarin orange	B.Kageyama, Shionogi & Co., Hyogo(Osaka), Japan	1992-05-15
30159T	Tatumella punctata	Mandarin orange	B.Kageyama, Shionogi & Co., Hyogo(Osaka), Japan	1992-05-15
30161T	Tatumella terrea	Soil	B.Kageyama, Shionogi & Co., Hyogo(Osaka), Japan	1992-05-15
30137T	Amylolactobacillus amylophilus	Swine waste-corn fermentation	D.Janssens, LMG, Gent, Belgium	1992-05-14
30138T	Limosilactobacillus fermentum	Fermented beets (Beta vulgaris)	D.Janssens, LMG, Gent, Belgium	1992-05-14
30139T	Lactobacillus helveticus	Emmental cheese	D.Janssens, LMG, Gent, Belgium	1992-05-14
30140T	Lentilactobacillus hilgardii	Wine	D.Janssens, LMG, Gent, Belgium	1992-05-14
30141T	Loigolactobacillus mali	Apple juice from cider press	D.Janssens, LMG, Gent, Belgium	1992-05-14
30142T	Carnobacterium maltaromaticum	Raw milk with malty flavour	D.Janssens, LMG, Gent, Belgium	1992-05-14
30143T	Fructilactobacillus sanfranciscensis	San Francisco sour dough	D.Janssens, LMG, Gent, Belgium	1992-05-14
30113T	Weissella confusa		B.Phillips, NCFB, Reading, UK	1992-05-11
30094T	Carnobacterium divergens	Vacuum-packaged minced beef	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30095T	Carnobacterium gallinarum	Ice slush from around chicken carcasse	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30096T	Carnobacterium mobile		I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30102T	Planomonospora	Sea water	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30103T	Iodobacter fluviatile	River	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30107T	Staphylococcus delphini	Dolphin, purulent skin lesion	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30109T	Staphylococcus equorum subsp. equorum	Horse skin	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30110T	Staphylococcus kloosii	Squirrel skin	I.Sedlácek, CCM, Brno, Czechoslovakia	1992-05-08
30090T	Facklamia tabacinasalis	Industrial tobacco, snuff, contaminant	Anonymous, Sweden	1992-05-06
30058T	Leuconostoc amelibiosum		B.Phillips, NCFB, Reading, UK	1992-04-28
30059T	Leuconostoc carnosum	Meat, vacuum packed	B.Phillips, NCFB, Reading, UK	1992-04-28
30060T	Leuconostoc citreum	Honey-dew of rye ear	B.Phillips, NCFB, Reading, UK	1992-04-28
30061T	Leuconostoc fallax	Sauerkraut	B.Phillips, NCFB, Reading, UK	1992-04-28
30063T	Leuconostoc pseudomesenteroides		B.Phillips, NCFB, Reading, UK	1992-04-28
30064T	Leuconostoc lactis		B.Phillips, NCFB, Reading, UK	1992-04-28
30065T	Leuconostoc mesenteroides subsp. dextranicum		B.Phillips, NCFB, Reading, UK	1992-04-28
30066T	Leuconostoc mesenteroides subsp. mesenteroides	Olives	B.Phillips, NCFB, Reading, UK	1992-04-28
30068T	Weissella paramesenteroides		B.Phillips, NCFB, Reading, UK	1992-04-28
30038T	Salmonella enterica subsp. indica	Origine unknown	C.Bizet, CIP, Institut Pasteur, Paris, France	1992-04-23
30039T	Salmonella enterica subsp. salamae	Origine unknown	C.Bizet, CIP, Institut Pasteur, Paris, France	1992-04-23
30040T	Salmonella enterica subsp. diarizonae	Origine unknown	C.Bizet, CIP, Institut Pasteur, Paris, France	1992-04-23
30041T	Salmonella enterica subsp. houtenae	Origine unknown	C.Bizet, CIP, Institut Pasteur, Paris, France	1992-04-23
30042T	Salmonella bongori	Origine unknown	C.Bizet, CIP, Institut Pasteur, Paris, France	1992-04-23
29715T	Legionella spiritensis	Lake water	NCTC, London, U.K.	1992-02-17
29665T	Legionella anisa	Tap water	NCTC, London, UK	1992-01-30
29666T	Legionella cherrii	Water	NCTC, London, UK	1992-01-30
29667T	Legionella erythra	Cooling tower water	NCTC, London, UK	1992-01-30
29669T	Legionella jamestowniensis	Wet soil	NCTC, London, U.K.	1992-01-30
29670T	Legionella parisiensis	Water cooling tower	NCTC, London, UK	1992-01-30
29671T	Legionella rubrilucens		NCTC, London, U.K.	1992-01-30
29672T	Legionella sainthelensi	Stream water	NCTC, London, UK	1992-01-30
29673T	Legionella santicrucis	Tap water	NCTC, London, UK	1992-01-30
29564T	Aerococcus urinae	Human urinary tract	J.J.Christensen, Hilleröd, Denmark	1991-12-30
29542T	Prevotella denticola	Dental plaque	ATCC, Rockville, USA	1991-12-20
29543T	Aeromonas jandaei	Human stool, patient with diarrhea	ATCC, Rockville, USA	1991-12-20
29544T	Aeromonas enteropelogenes	Human stool	ATCC, Rockville, USA	1991-12-20
29519 B#T	Pseudomonas fragi		P.Gustavsson, Kävlinge, Sweden	1991-12-15
29304T	Flavobacterium aquatile	Deep well in the chalk region of Kent	T.Dando, NCIMB, Aberdeen, Scotland	1991-10-31
29291T	Aerococcus urinae	Human urinary tract	NCTC, London, UK	1991-10-29
29292T	Enterococcus raffinosus	Human blood	NCTC, London, UK	1991-10-29
29293T	Tetragenococcus solitarius		NCTC, London, UK	1991-10-29
29300T	Escherichia coli	Human urine, cystitis	M.Desmonceaux, LRA, La Balme-les-Grottes, France	1991-10-29
29301T	Enterobacter cloacae	Human cerebrospinal fluid	M.Desmonceaux, LRA, La Balme-les-Grottes, France	1991-10-29
29255T	Helicobacter pametensis	Tern feces	F.E.Dewhirst, FDC, Boston, USA	1991-10-23
29261T	Helicobacter 'Bird-C'	House sparrow feces	F.E.Dewhirst, FDC, Boston, USA	1991-10-23
29262T	Helicobacter muridarum	Rat ileum	F.E.Dewhirst, FDC, Boston, USA	1991-10-23
29263T	Helicobacter acinonyx	Cheetah stomach, gastric biopsy	F.E.Dewhirst, FDC, Boston, USA	1991-10-23
28996T	Cellulomonas flavigena		DSM, Braunschweig, Germany	1991-09-18
28997T	Arthrobacter globiformis		DSM, Braunschweig, Germany	1991-09-18
28998T	Microbacterium lacticum		DSM, Braunschweig, Germany	1991-09-18
28999T	Curtobacterium citreum		DSM, Braunschweig, Germany	1991-09-18
29000T	Microbacterium flavescens	Soil	DSM, Braunschweig, Germany	1991-09-18
29001T	Brevibacterium casei	Cheddar cheese	DSM, Braunschweig, Germany	1991-09-18
29041T	Mycobacterium flavescens		M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-09-15
29045T	Mycobacterium scrofulaceum	Human cervical lymph node	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-09-15
29062T	Mycobacterium gastri		M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-09-15
29114T	Mycobacterium simiae	Indian monkey	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-09-15
29115T	Mycobacterium asiaticum	Indian monkey, Macaca mulatta	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-09-15
28958T	Rhizopus oryzae		CBS, Baarn, Netherlands	1991-09-04
28903T	Bifidobacterium longum subsp. longum	Human intestine, adult	DSM, Braunschweig, Germany	1991-08-22
28880T	Paenibacillus thiaminolyticus		L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28881T	Paenibacillus popilliae	Commercial spore dust *)	L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28882T	Bacillus psychrosaccharolyticus	Soil	L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28883T	Paenibacillus lentimorbus	Film of dried Japanese beetle grub blood	L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28884T	Jeotgalibacillus marinus	Sediment	L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28886T	Sporosarcina psychrophilus		L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28887T	Geobacillus thermoglucosidasius	Soil	L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28888T	Lysinibacillus fusiformis		L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28889T	Peribacillus simplex		L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28890T	Geobacillus kaustophilus	Pasteurized milk	L.K.Nakamura, NRRL, Peoria, USA	1991-08-16
28831T	Aerococcus christensenii	Human vagina	L.Rabe, Seattle, USA	1991-08-07
28833T	Pasteurella caballi	Equine uterus, adult female	L.K.Schlater, Ames, Iowa, USA	1991-08-07
28805T	Vibrio navarrensis	Sewage	M.Urdaci, Bordeaux, France	1991-08-01
28791T	Corynebacterium flavescens	Cheese	F.Soriano, Madrid, Spain	1991-07-26
28792T	Corynebacterium vitaeruminis		F.Soriano, Madrid, Spain	1991-07-26
28793T	Corynebacterium callunae		F.Soriano, Madrid, Spain	1991-07-26
28794T	Corynebacterium cystitidis	Cow	F.Soriano, Madrid, Spain	1991-07-26
28779T	Corynebacterium accolens	Human clinical specimen	J.Sourek, CNCTC, Prague, Czechoslovakia	1991-07-25
28783 AT	Facklamia sourekii		J.Sourek, CNCTC, Prague, Czechoslovakia	1991-07-21
28746T	Lactobacillus iners	Human urine, 36-yr-old woman	K.Lincoln, PHLS, Göteborg, Sweden	1991-07-11
28588T	Streptococcus pneumoniae		R.J.Owen, NCTC, London, UK	1991-06-11
28583T	Vibrio aestuarianus	Oyster	F.Uruburu, CECT, Burjasot (Valencia), Spain	1991-06-04
28584T	Vibrio harveyi	Dead luminescing amphipod (Talorchestia sp.)	F.Uruburu, CECT, Burjasot (Valencia), Spain	1991-06-04
28585T	Vibrio nereis	Seawater enriched with propanol	F.Uruburu, CECT, Burjasot (Valencia), Spain	1991-06-04
28514T	Paenibacillus amylolyticus		L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28515T	Paenibacillus larvae	Foul brood of honeybees	L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28516T	Alkalihalobacillus alcalophilus	Human feces	L.K.Nakamura, NRRL, Peoria, U.S.A.	1991-05-24
28517T	Schinkia azotoformans	Garden soil	L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28519T	Bacillus amyloliquefaciens	Soil	L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28520T	Paenibacillus validus		L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28521T	Alicyclobacillus acidocaldarius	Acid hot spring	L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28522T	Bacillus benzoevorans		L.K.Nakamura, NRRL, Peoria, U.S.A.	1991-05-24
28523T	Paenibacillus glucanolyticus		L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28524T	Bacillus atrophaeus	Soil	L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28525T	Priestia flexa		L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28527T	Paenibacillus chondroitinus	Soil	L.K.Nakamura, NRRL, Peoria, USA	1991-05-24
28439T	Pediococcus parvulus	Silage	M.Kocur, CCM, Brno, Czechoslovakia	1991-05-06
28380T	Sphingobium yanoikuyae	Human	W.Frederiksen, SSI, Copenhagen, Denmark	1991-04-26
28332T	Brevundimonas vesicularis	Leech urinary-bladder epithelium	D.Janssens, LMG, Gent, Belgium	1991-04-18
28333T	Brevundimonas vesicularis	Leech urinary-bladder epithelium	D.Janssens, LMG, Gent, Belgium	1991-04-18
28285 BT	Actinobacillus muris	Mouse	R.Gherna, ATCC, Rockville, USA	1991-04-11
28149T	Acidipropionibacterium thoenii	Emmental cheese	M.Kocur, CCM, Brno, Czechoslovakia	1991-03-12
28087T	Collinsella aerofaciens	Human feces	D.Claus, DSM, Braunschweig, Germany	1991-02-25
28088T	Clostridium moniliforme	Human infected wound	D.Claus, DSM, Braunschweig, Germany	1991-02-25
28089T	Lachnoanaerobaculum saburreum comb nov	Human dental plaque	D.Claus, DSM, Braunschweig, Germany	1991-02-25
28091T	Holdemanella biformis	Human feces	D.Claus, DSM, Braunschweig, Germany	1991-02-25
28093T	Flavonifractor plautii		D.Claus, DSM, Braunschweig, Germany	1991-02-25
28094T	Aerococcus urinaeequi	Horse urine	D.Claus, DSM, Braunschweig, Germany	1991-02-25
28028T	Necropsobacter rosorum	Guinea pig pneumoic lesions, autopsy	R.Mutters, Marburg, Germany	1991-02-12
28030T	Mesocricetibacter intestinalis	Hamster?	R.Mutters, Marburg, Germany	1991-02-12
28005T	Mycobacterium intracellulare		M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-02-11
28008T	Mycobacterium thermoresistibile	Soil	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-02-11
28009T	Mycobacterium nonchromogenicum	Soil	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-02-11
27973T	Mycobacterium fortuitum subsp. fortuitum	Human cold abscess	Univ.of Göteborg, Göteborg, Sweden	1991-02-06
27976T	Mycobacterium peregrinum	Human bronchial aspiration, child	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-02-06
27949T	Corynebacterium striatum		R.Hill, NCTC, London, UK	1991-02-01
27904T	Pasteurella aerogenes	Pig	M.Bisgaard, Copenhagen, Denmark	1991-01-30
27888T	Streptococcus hyointestinalis	Pig intestine	L.A.Devriese, Gent, Belgium	1991-01-29
27894T	Enterococcus columbae	Pigeon (Columba livia) intestine	L.A.Devriese, Gent, Belgium	1991-01-29
27876T	Bradyrhizobium japonicum	Soy bean, Glycine hispida, nodule	D.Janssens, LMG, Gent, Belgium	1991-01-25
27877T	Sinorhizobium fredii	Soy bean, Glycine max, root nodule	D.Janssens, LMG, Gent, Belgium	1991-01-25
27879T	Sinorhizobium meliloti	Medicago sativa	D.Janssens, LMG, Gent, Belgium	1991-01-25
27880T	Neorhizobium galegae	Galega orientalis	D.Janssens, LMG, Gent, Belgium	1991-01-25
27843T	Mycobacterium marinum	Fish	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-01-22
27816T	Propionibacterium lymphophilum	Human submaxillary tissue	T.Nakase, JCM, RIKEN, Saitama, Japan	1991-01-21
27817T	Eubacterium multiforme	African soil	T.Nakase, JCM, RIKEN, Saitama, Japan	1991-01-21
27819T	Sphingomonas adhaesiva		T.Nakase, JCM, RIKEN, Saitama, Japan	1991-01-21
27820T	Aeromonas schubertii	Human abscess, forehead	T.Nakase, JCM, RIKEN, Saitama, Japan	1991-01-21
27821T	Aeromonas veronii	Human sputum, drowning victim	T.Nakase, JCM, RIKEN, Saitama, Japan	1991-01-21
27824T	Dichelobacter nodosus	Foot rot in sheep	R.Gherna, ATCC, Rockville, USA	1991-01-21
27825T	Tissierella praeacuta	Gangrene	R.Gherna, ATCC, Rockville, USA	1991-01-21
27827T	Prevotella heparinolytica	Subgingival dental plaque	R.Gherna, ATCC, Rockville, USA	1991-01-21
27804 #T	Abiotrophia defectiva	Human blood, endocarditis	A.Bouvet, Paris, France	1991-01-18
27809T	Granulicatella adiacens	Human blood, endocarditis	A.Bouvet, Paris, France	1991-01-18
27778T	Nocardia farcinica	Bovine farcy ?	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-01-16
27787T	Mycobacterium kansasii	Fatal infection	M.Ridell, Univ.of Göteborg, Göteborg, Sweden	1991-01-16
27720T	Campylobacter gracilis	Human gingival sulcus	A.Tanner, FDC, Boston, USA	1991-01-08
27700T	Leifsonia aquatica	Distilled water	M.Darekar, CCTM, Lausanne, Switzerland	1991-01-03
27702T	Corynebacterium glutamicum	Sewage	M.Darekar, CCTM, Lausanne, Switzerland	1991-01-03
27661T	Streptococcus canis	Bovine mastitis	L.A.Devriese, Gent, Belgium	1990-12-17
27637 A#T	Granulicatella adiacens	Human cardiac valves, endocarditis	Y.Cerisier, CIP, Paris, France	1990-12-14
27639T	Abiotrophia defectiva	Blood, endocarditis	Y.Cerisier, CIP, Paris, France	1990-12-14
27640T	Streptococcus intestinalis	Pig colon contents	Y.Cerisier, CIP, Paris, France	1990-12-14
27642T	Streptococcus ratti	Rat carious lesion	Y.Cerisier, CIP, Paris, France	1990-12-14
27643T	Enterococcus saccharolyticus	Straw bedding	Y.Cerisier, CIP, Paris, France	1990-12-14
27653T	Streptococcus macacae	Monkey dental plaque	B.Holmes, NCTC, London, UK	1990-12-14
27654T	Sphingomonas sanguinis	Human blood	B.Holmes, NCTC, London, UK	1990-12-14
27628T	Streptococcus porcinus		P.Kuzemenska, CNCTC, Prague, Czechoslovakia	1990-12-11
27579T	Streptococcus uberis		J.Henrichsen, SSI, Copenhagen, Denmark	1990-11-29
27535T	Corynebacterium kutscheri	Murine, lung abscess, Swiss mouse	R.Hill, NCTC, London, UK	1990-11-23
27538T	Corynebacterium mycetoides		L.R.Hill, NCTC, London, UK	1990-11-23
27539T	Corynebacterium pseudodiphtheriticum	Human throat	R.Hill, NCTC, London, UK	1990-11-23
27542T	Corynebacterium renale	Cow	R.Hill, NCTC, London, UK	1990-11-23
27545T	Corynebacterium matruchotii	Oral calculus	R.L.Hill, NCTC, London, UK	1990-11-23
27502T	Streptococcus ratti		G.Hjort, Oral Microbiol., Göteborg, Sweden	1990-11-20
