CCUG Number	Strain	Source	Depositor	Deposit Date
46665T	Chryseobacterium joostei	Raw milk, tanker	D.Janssens, LMG, Gent, Belgium	2002-07-05
46666T	Enterococcus canis	Dog anus	D.Janssens, LMG, Gent, Belgium	2002-07-05
46620T	Corynebacterium matruchotii	Human oral calculus	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-06-27
46622T	Legionella longbeachae	Human lung	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-06-27
46601T	Microbacterium paraoxydans	Human blood, 5-yr-old boy, leukemia	G.Wauters, UCL, Brussels, Belgium	2002-06-24
46604T	Brevibacterium luteolum	Human peritoneal fluid, patient undergoing dialysis	G.Wauters, UCL, Brussels, Belgium	2002-06-24
46608T	Weissella soli	Garden soil	S.Roos, SLU, Swedish Univ.Agr.Sci., Uppsala, Sweden	2002-06-24
46590T	Anaerococcus tetradius	Human vaginal discharge	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-06-19
46591T	Peptoniphilus indolicus	Summer mastitis in cattle	Z.Pácová, CCM, Brno, Czech Republic	2002-06-19
46592T	Anaerococcus tetradius	Human vaginal smear	Z.Pácová, CCM, Brno, Czech Republic	2002-06-19
46556T	Ligilactobacillus acidipiscis		T.Kudo, JCM, Saitama, Japan	2002-06-06
46557T	Weissella thailandensis		T.Kudo, JCM, Saitama, Japan	2002-06-06
46560T	Tetrasphaera elongata	Anaerobic-aerobic sequential batch reactor	T.Kudo, JCM, Saitama, Japan	2002-06-06
46540T	Halopseudomonas pachastrellae	Sponge (Pachastrella sp), a depth of 350 meter	L.A.Romanenko, KMM, Vladivostok, Russia	2002-06-04
46543T	Pseudomonas xanthomarina	Ascidian (Halocynthia aurantium)	L.A.Romanenko, KMM, Vladivostok, Russia	2002-06-04
46544T	Rheinheimera pacifica	Seawater, at a depth of 5000 meter	L.A.Romanenko, KMM, Vladivostok, Russia	2002-06-04
46511T	Corynebacterium aquilae	Choanae of golden eagle (Aquila chrysaetos)	F.Uruburu, CECT, Burjassot(Velencia), Spain	2002-06-03
46510T	Clostridium spiroforme	Human feces	P.A.Lawson, Reading, UK	2002-05-31
46494T	Escherichia albertii	Human feces, diarrheic child	D.Janssens, LMG, Gent, Belgium	2002-05-29
46433T	Nocardia soli	Soil from river	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-05-07
46407T	Haematomicrobium sanguinis	Human blood, 63-yr-old male	S.Bernander, KS, Stockholm, Sweden	2002-04-29
46398T	Corynebacterium sphenisci	Penguin, healthy wild (Spheniscus magellanicus)	E, Burjasot, CECT, Uruburu F	2002-04-24
46377T	Streptococcus constellatus subsp. pharyngis	Human throat, pharyngitis	B.Holmes, NCTC, London, UK	2002-04-20
46378 #T	Slackia heliotrinireducens	Sheep rumen	B.Holmes, NCTC, London, UK	2002-04-20
46379T	Actinobacillus scotiae	Porpoise viscera	B.Holmes, NCTC, London, UK	2002-04-20
46380T	Anaerobiospirillum thomasii	Human feces	B.Holmes, NCTC, London, UK	2002-04-20
46381T	Eubacterium infirmum	Human periodontal pockets	B.Holmes, NCTC, London, UK	2002-04-20
46382T	Eubacterium tardum	Human periodontal pockets	B.Holmes, NCTC, London, UK	2002-04-20
46384 #T	Clostridium spiroforme	Human feces	B.Holmes, NCTC, London, UK	2002-04-20
46385T	Filifactor villosus	Feline subcutaneous abscess	B.Holmes, NCTC, London, UK	2002-04-20
46362T	Ochrobactrum grignonense	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-04-15
46352T	Mycobacterium doricum	Human cerebrospinal fluid	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-04-10
46354T	Corynebacterium terpenotabidum	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-04-10
46355T	Vogesella indigofera		C.Bizet, CIP, Institut Pasteur, Paris, France	2002-04-10
46357T	Parvimonas micra	Human purulent pleurisy	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-04-10
46310 #T	Clostridium cocleatum	Mouse cecum	P.A.Lawson, Reading, UK	2002-04-02
46295T	Nocardia cummidelens		C.Bizet, CIP, Institut Pasteur, Paris, France	2002-03-26
46296T	Nocardia fluminea		C.Bizet, CIP, Institut Pasteur, Paris, France	2002-03-26
46293T	Cloacibacterium normanense	Untreated wastewater, water treatment plant	P.A.Lawson, Reading, UK	2002-03-25
46279T	Hespellia stercorisuis	Swine manure, stored	T.R.Whitehead, USDA, Peoria, USA	2002-03-22
46266T	Mycobacterium holsaticum	Human sputum	E.Richter, Borstel, Germany	2002-03-14
46254T	Cetobacterium somerae	Human feces, child with late-onset autism	D.Molitoris, VA Med Center, Los Angeles, CA, USA	2002-03-06
46240T	Psychrobacter pulmonis	Congestive lungs of 20-days-old lamb, sudden death	F.Uruburu, CECT, Burjassot(Valencia), Spain	2002-03-04
46211T	Aeromonas hydrophila subsp. ranae	Frog, liver of farmed Rana rugulosa, septicaemia	D.Janssens, LMG, Gent, Belgium	2002-02-18
46148T	Coenonia anatina	Pekin duck	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-01-31
46149T	Streptococcus lutetiensis	Human isolate	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-01-31
46150T	Streptococcus gallolyticus subsp. pasteurianus	Human cerebrospinal fluid, infant	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-01-31
46115T	Nocardia brevicatena		R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46116T	Nocardia vaccinii		R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46117T	Nocardia paucivorans	Human sputum, chronic lung disease	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46118T	Nocardia veterana		R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46119T	Nocardia soli	Soil from river	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46120T	Nocardia fluminea	Water, untreated	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46121T	Nocardia cummidelens		R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46122T	Nocardia africana	Human sputum	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2002-01-24
46090T	Actinomyces oricola	Human dental abscess, male	V.Hall, PHLS, Cardiff, UK	2002-01-21
46091T	Schaalia vaccimaxillae	Cow, jaw lesion in adult animal	V.Hall, PHLS, Cardiff, UK	2002-01-21
46092T	Bowdeniella nasicola	Human antral washout, 81-yr-old male	V.Hall, PHLS, Cardiff, UK	2002-01-21
46093T	Actinotignum urinale	Human urine, female	V.Hall, PHLS, Cardiff, UK	2002-01-21
46096T	Nocardia beijingensis	Mud from a sewage ditch	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-01-21
46075T	Propionibacterium australiense	Cattle, granulomatous lesions	K.Bernard, NHL, Winnipeg, Canada	2002-01-17
46077T	Clostridium neonatale	Human blood	K.Bernard, NML, Winnipeg, Canada	2002-01-17
46042T	Leuconostoc gelidum subsp. gasicomitatum	Tomato-marinated broiler meat strips	D.Janssens, LMG, Gent, Belgium	2002-01-10
46043T	Burkholderia sacchari	Soil, sugar cane plantation	D.Janssens, LMG, Gent, Belgium	2002-01-10
46044T	Burkholderia phenazinium	Soil enriched with threonine	D.Janssens, LMG, Gent, Belgium	2002-01-10
46047T	Burkholderia anthina	Soil rhizosphere	D.Janssens, LMG, Gent, Belgium	2002-01-10
46020T	Alistipes finegoldii	Human appendix tissue, 14-yr-old boy	M.Rautio/H.Jousimies-Somer, KTL, Helsinki, Finland	2002-01-04
46016T	Pseudochrobactrum asaccharolyticum	Human knee aspirate, 66-yr-old man	PHLS, Uddevalla, Sweden	2002-01-03
45998 AT	Kosakonia cowanii		C.Bizet, CIP, Institut Pasteur, Paris, France	2001-12-21
45998 BT	Kosakonia cowanii	Human blood	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-12-21
45952T	Megasphaera micronuciformis	Human liver abscess	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-12-03
45937T	Nocardia transvalensis	Human, mycetoma of foot	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-11-30
45938T	Nocardia abscessus	Human abscess	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-11-30
45939T	Nocardia nova		C.Bizet, CIP, Institut Pasteur, Paris, France	2001-11-30
45913T	Enterococcus moraviensis	Water, Spring Hájek	Z.Paeova, CCM, Brno, Czech Republic	2001-11-22
45916T	Enterococcus haemoperoxidus	Water, service (non-potable)	Z.Paeova, CCM, Brno, Czech Republic	2001-11-22
45919T	Streptococcus australis	Human saliva, child	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-11-22
45920T	Legionella gresilensis	Water, thermal spa	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-11-22
45921T	Legionella beliardensis	Water, hospital calorifier	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-11-22
45864T	Shuttleworthia satelles	Human subgingival periodontal pocket, 14 year old	J.Downes, Guys Hospital, London, UK	2001-11-08
45847T	Novosphingobium lentum	Sludge fed to fluidized-bed bioreactor	M.A.Tiirola, Jyväskylä, Finland	2001-11-02
45804T	Corynebacterium atypicum	Human clinical specimen, no further information	V.Hall, PHLS, Cardiff, UK	2001-10-22
45813T	Laribacter hongkongensis	Human blood, bacteremia, empyema, cirrhotic patient	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-22
45774T	Bartonella alsatica	Rabbit blood	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45778T	Bartonella tribocorum	Wild rat blood	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45779T	Bartonella vinsonii subsp. berkhoffii	Canine blood	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45780T	Alistipes putredinis	Human feces	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45781T	Comamonas nitrativorans	Landfill leachate, denitrifying reactor	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45782T	Williamsia muralis	Water-damaged indoor building material	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45783T	Massilia timonae	Human blood	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-10-15
45722T	Limosilactobacillus ingluviei	Pigeon crop	D.Janssens, LMG, Gent, Belgium	2001-10-01
45704T	Corynebacterium freneyi	Human wound, toe	P.Riegel, Univ.Louis Pasteur, Strasbourg, France	2001-09-27
45688T	Brevibacterium paucivorans	Human blood	G.Wauters, UCL, Brussels, Belgium	2001-09-21
45679T	Pandoraea capi	Sputum, 71-year-old female with pneumoniae	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2001-09-19
45680T	Pandoraea bronchicola	Human sputum, cystic fibrosis	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2001-09-19
45635 #T	Blautia luti	Human feces	D.Taras, Bergholz-Rehbrücke, Germany	2001-09-07
45566T	Paenibacillus stellifer	Food-packaging paperboard	I.Suominen, Helsinki, Finland	2001-08-22
45559T	Acinetobacter ursingii	Human blood, female patient with endocarditis	L.Dijkshoorn, LUMC, Leiden, Netherlands	2001-08-21
45560T	Acinetobacter schindleri	Human urine	L.Dijkshoorn, LUMC, Leiden, Netherlands	2001-08-21
45561T	Acinetobacter venetianus	Tar on beach	L.Dijkshoorn, LUMC, Leiden, Netherlands	2001-08-21
45553T	Enterococcus gilvus	Human bile, cholecystitis	G.J.Tyrell, Edmonton, Alberta, Canada	2001-08-17
45554T	Enterococcus pallens	Human peritoneal dialysate	G.J.Tyrell, Edmonton, Alberta, Canada	2001-08-17
45512T	Corynebacterium spheniscorum	Cloaca of healthy wild penguins	M.D.Collins, Univ. of Reading, Reading, UK	2001-07-23
