ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1970311	Acidovorax sp.	32-64-7	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
1970310	Acidovorax sp.	28-64-14	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
1970309	Acidovorax sp.	24-64-9	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
1970308	Acidovorax sp.	17-64-282	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
1970307	Acidovorax sp.	16-64-162	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
1970313	Acidovorax sp.	39-64-12	6.29	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	
439481	Aciduliprofundum boonei	T469	70.0	Archaea	Candidatus Thermoplasmatota				Aciduliprofundum	
1970489	Actinobacteria bacterium	21-73-9	6.29	Bacteria	Actinomycetota					
1970488	Actinobacteria bacterium	21-64-8	6.29	Bacteria	Actinomycetota					
304899	Actinospica acidiphila	NRRL B-24431	28.0	Bacteria	Actinomycetota	Actinomycetes	Catenulisporales	Actinospicaceae	Actinospica	
1255277	Alicyclobacillus acidiphilus	NBRC 100859	50.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
405212	Alicyclobacillus acidocaldarius	Tc-4-1	70.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
405212	Alicyclobacillus acidocaldarius	104-IA = DSM 446	65.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1356854	Alicyclobacillus acidoterrestris	ATCC 49025	47.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1120971	Alicyclobacillus contaminans	DSM 17975	52.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
471514	Alicyclobacillus ferrooxydans	TC-34	28.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1120972	Alicyclobacillus herbarius	DSM 13609	57.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
89784	Alicyclobacillus hesperidum	DSM 12489	50.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1200346	Alicyclobacillus hesperidum	URH17-3-68	52.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
392012	Alicyclobacillus kakegawensis	5-A83J	52.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
392015	Alicyclobacillus macrosporangiidus	DSM 17980	52.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1314748	Alicyclobacillus mali	NBRC 102425	63.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1830138	Alicyclobacillus montanus	USBA-503 = USBA-GBX-503	45.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
1111479	Alicyclobacillus pomorum	DSM 14955	47.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
392010	Alicyclobacillus sacchari	DSM 17974	47.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
392014	Alicyclobacillus shizuokensis	4-A336	47.5	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
368812	Alicyclobacillus tengchongensis	CGMCC 1504	45.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
252246	Alicyclobacillus vulcanalis	DSM 16176	55.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	
91915	Asaia bogorensis	NBRC 16594 = JCM 10569	30.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	
863522	Bryocella elongata	DSM 22489 = SN10	22.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Bryocella	
1469502	Burkholderiales bacterium	GJ-E10	31.0	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales			
1056495	Caldisphaera lagunensis	DSM 15908	72.5	Archaea	Thermoproteota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	
76887	Caldivirga maquilingensis	IC- 167	85.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	
1714255	Caldivirga sp.	CIS_19	78.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	
1714256	Caldivirga sp.	MG_3	80.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	
1157962	Chlamydomonas eustigma	NIES-2499	20.0	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	
1673428	Cuniculiplasma divulgatum	JCM 30642	38.5	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	
1673428	Cuniculiplasma divulgatum	JCM 30641	38.5	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	
1961135	Cuniculiplasma sp.	C_DKE	22.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	
45157	Cyanidioschyzon merolae	10D	45.0	Eukaryota	Rhodophyta	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	
2043169	Desulfosporosinus infrequens	SbF1	14.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	
2560027	Desulfosporosinus sp.	Sb-LF	15.44	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	
1633135	Desulfosporosinus sp.	BG	28.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfosporosinus	
1121877	Ferrimicrobium acidiphilum	DSM 19497	35.0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrimicrobium	
1121881	Ferrithrix thermotolerans	DSM 19514	43.0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix	
97393	Ferroplasma acidarmanus	fer1	42.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	
74969	Ferroplasma acidiphilum	Y	35.5	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	
416213	Ferrovum myxofaciens	PN-J185	20.0	Bacteria	Pseudomonadota	Betaproteobacteria	Ferrovales	Ferrovaceae	Ferrovum	
416213	Ferrovum myxofaciens	P3G	32.0	Bacteria	Pseudomonadota	Betaproteobacteria	Ferrovales	Ferrovaceae	Ferrovum	
1789004	Ferrovum sp.	Z-31 = Zulauf-31	20.0	Bacteria	Pseudomonadota	Betaproteobacteria	Ferrovales	Ferrovaceae	Ferrovum	
1356299	Ferrovum sp.	JA12	28.0	Bacteria	Pseudomonadota	Betaproteobacteria	Ferrovales	Ferrovaceae	Ferrovum	
130081	Galdieria sulphuraria	074W	37.0	Eukaryota	Rhodophyta	Bangiophyceae	Galdieriales	Galdieriaceae	Galdieria	
130081	Galdieria sulphuraria	107.79	37.0	Eukaryota	Rhodophyta	Bangiophyceae	Galdieriales	Galdieriaceae	Galdieria	
1796491	Gallionella acididurans (Candidatus)	ShG14-8	6.5	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	
108528	Gluconacetobacter entanii	LTH 4560	30.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	
682795	Granulicella mallensis	MP5ACTX8	25.5	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	
474950	Granulicella pectinivorans	DSM 21001	20.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	
474952	Granulicella rosea	DSM 18704	20.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	
1198114	Granulicella tundricola	MP5ACTX9	22.5	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella	
547143	Hydrogenobaculum sp.	3684	65.0	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	
547144	Hydrogenobaculum sp.	HO	65.0	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	
547145	Hydrogenobaculum sp.	SHO	65.0	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	
547146	Hydrogenobaculum sp.	SN	65.0	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum	
547149	Hydrogenobaculum sp.	Y04AAS1	65.0	Eukaryota	Chordata	Actinopteri		Sciaenidae	Micropogonias	
153496	Kozakia baliensis	DSM 14400	30.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Kozakia	
562970	Kyrpidia tusciae	DSM 2912	55.0	Bacteria	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Kyrpidia	
178606	Leptospirillum ferriphilum	DSM 14647	37.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
178606	Leptospirillum ferriphilum	DX	40.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
1048260	Leptospirillum ferriphilum	ML-04	40.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
178606	Leptospirillum ferriphilum	pb_238	33.5	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
178606	Leptospirillum ferriphilum	Sp-Cl	33.5	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
1441628	Leptospirillum ferriphilum	YSK	40.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
178606	Leptospirillum ferriphilum	ZJ	40.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
412449	Leptospirillum ferrodiazotrophum	UBA3	39.5	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
1162668	Leptospirillum ferrooxidans	C2-3	30.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
419542	Leptospirillum rubarum	UBA	41.0	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Leptospirillum	
