Name	Strain	Temp	Source_ID
Microcystis aeruginosa	MW-H1	25 C	NIES-104
Microcystis aeruginosa	K-MW-K4	25 C	NIES-105
Microcystis aeruginosa	K-MW-19	25 C	NIES-106
Microcystis aeruginosa	KW-MW-7	25 C	NIES-107
Microcystis aeruginosa	S-MW-52	25 C	NIES-108
Microcystis aeruginosa	Y-MW-24	25 C	NIES-109
Microcystis aeruginosa	TAC 36 (K-TAN-36)	25 C	NIES-110
Microcystis aeruginosa	TAC 37 (K-TAN-37)	25 C	NIES-111
Microcystis aeruginosa	TAC 52 (S-TAN-52)	25 C	NIES-112
Chattonella marina	KGW-59-2	20 C	NIES-113
Chattonella marina	KGW-74-8	20 C	NIES-114
Chattonella marina	OCH-m	20 C	NIES-3
Chattonella marina	H-53-11	20 C	NIES-14
Chattonella marina	KGW-9-1	20 C	NIES-115
Chattonella marina	KGW-46-7	20 C	NIES-116
Chattonella marina	KGW-75-2	20 C	NIES-118
Astrephomene gubernaculifera	1520-1 (+)	20 C	NIES-419
Tetradesmus dimorphus	OZ-29	20 C	NIES-119
Scenedesmus acutus	Aq-S-2	20 (25) C	NIES-120
Chattonella marina	KGO-57-1	20 C	NIES-121
Chattonella marina	KGO-57-2	20 C	NIES-1872
Chattonella marina	KGW-60-3	20 C	NIES-1873
Phaeocystis globosa	8-P	15 C	NIES-388
Brachiomonas submarina	86-SuHH-2	15 C	NIES-375
Achnanthidium minutissimum	KAAC-6	20 C	NIES-372
Chaetoceros socialis	STHB-4	15 C	NIES-377
Chlamydomonas pulsatilla	MKF-50	20 (25) C	NIES-122
Fragilaria capucina	KEB-24	15 C	NIES-391
Monoraphidium contortum	Ep-i	20 (25) C	NIES-384
Monoraphidium griffithii	AWA	20 (25) C	NIES-385
Dictyochloropsis irregularis	CCHU-2227	20 (25) C	NIES-378
Cryptoglena skujae	PhD-3	20 C	NIES-387
Rusalka fusiformis	MKF-14	20 (25) C	NIES-123
Closterium acerosum	N-20-1	20 (20) C	NIES-124
Closterium acerosum	N-25-22	20 (20) C	NIES-125
Closterium acerosum	3A	20 (20) C	NIES-448
Closterium acerosum	H-2-2	20 (20) C	NIES-127
Closterium calosporum	IB-21-20	20 (20) C	NIES-128
Coelastrum astroideum	TAC 56 (TAN-56-7)	20 (25) C	NIES-129
Coelastrum astroideum	TAC 54 (TAN-54-1)	20 C	NIES-342
Coelastrum astroideum	TAC 51-9A (TAN-51-9A)	20 (25) C	NIES-130
Coelastrum proboscideum	N-63-20	20 (25) C	NIES-131
Coelastrum reticulatum	TAC 53-5A (TAN-53-5A)	20 (25) C	NIES-132
Cosmarium contractum	TAC 53-2 (TAN-53-2)	20 (20) C	NIES-133
Cosmarium hians	YAMA-Cos-4	20 C	NIES-452
Chrysotila roscoffensis	OCri	20 C	NIES-8
Galdieria sp.	Tsubo 53	37 C	NIES-250
Dimorphococcus lunatus	34-5	20 (25) C	NIES-134
Dimorphococcus lunatus	F-61-4	20 (25) C	NIES-135
Dinobryon divergens	F-75-26	15 C	NIES-284
Micractinium bornhemiensis	N-76-1	20 (25) C	NIES-455
