ncbiTaxID	Name	Strain	Temp
174	Leptospira borgpetersenii	nan	30
173	Leptospira interrogans	nan	30
28183	Leptospira santarosai	nan	30
55518	Magnetospirillum gryphiswaldense	nan	30
36805	Microbacterium aurum	nan	30
2033	Microbacterium testaceum	nan	30
111501	Muricauda ruestringensis	nan	30
-1	Mycobacterium immunogenum	nan	30
1781	Mycobacterium marinum	nan	30
50052	Mycoplasma crocodyli	nan	30
-1	Mycoplasma mobile	nan	30
28091	Neisseria weaveri	nan	30
182710	Oceanobacillus iheyensis	nan	30
-1	Oligotropha carboxidovorans	nan	30
1406	Paenibacillus polymyxa	nan	30
159743	Paenibacillus terrae	nan	30
185300	Paludibacter propionicigenes	nan	30
549	Pantoea agglomerans	nan	30
553	Pantoea ananatis	nan	30
66269	Pantoea stewartii	nan	30
34003	Paracoccus aminophilus	nan	30
1255	Pediococcus pentosaceus	nan	30
1102	Prosthecochloris aestuarii	nan	30
288	Pseudoalteromonas atlantica	nan	30
28107	Pseudoalteromonas espejiana	nan	30
228	Pseudoalteromonas haloplanktis	nan	30
28109	Pseudoalteromonas nigrifaciens	nan	30
43662	Pseudoalteromonas piscicida	nan	30
43658	Pseudoalteromonas rubra	nan	30
587753	Pseudomonas chlororaphis	nan	30
36746	Pseudomonas cichorii	nan	30
53408	Pseudomonas citronellolis	nan	30
75612	Pseudomonas mandelii	nan	30
76759	Pseudomonas monteilii	nan	30
240495	Pseudonocardia dioxanivorans	nan	30
34038	Rahnella aquatilis	nan	30
1069	Rhodomicrobium vannielii	nan	30
252307	Robiginitalea biformata	nan	30
28068	Rubrivivax gelatinosus	nan	30
1008	Saprospira grandis	nan	30
70863	Shewanella oneidensis	nan	30
1114980	Spiroplasma atrichopogonis	nan	30
216933	Spiroplasma chrysopicola	nan	30
47834	Spiroplasma kunkelii	nan	30
216944	Spiroplasma sabaudiense	nan	30
2145	Spiroplasma taiwanense	nan	30
216946	Spiroplasma turonicum	nan	30
246432	Staphylococcus equorum	nan	30
1288	Staphylococcus xylosus	nan	30
36861	Thiobacillus denitrificans	nan	30
73141	Thiocystis violascens	nan	30
-1	Treponema azotonutricium	nan	30
88058	Treponema primitia	nan	30
163877	Virgibacillus necropolis	nan	30
-1	Mycobacterium vanbaalenii	nan	30,5
62140	Acidiphilium multivorum	nan	31
33075	Acidobacterium capsulatum	nan	31
1718	Corynebacterium glutamicum	nan	31
349751	Corynebacterium marinum	nan	31
1274	Dermacoccus nishinomiyaensis	nan	31
390884	Echinicola vietnamensis	nan	31
-1	Mycobacterium aurum	nan	31
-1	Mycobacterium chimaera	nan	31
-1	Mycobacterium chubuense	nan	31
-1	Mycobacterium gilvum	nan	31
29311	Mycobacterium haemophilum	nan	31
-1	Mycobacterium neoaurum	nan	31
-1	Pelobacter acetylenicus	nan	31
1744	Propionibacterium freudenreichii	nan	31
29385	Staphylococcus saprophyticus	nan	31,5
138336	Blastococcus saxobsidens	nan	32
139	Borreliella burgdorferi	nan	32
169679	Clostridium saccharobutylicum	nan	32
92645	Herbaspirillum frisingense	nan	32
80842	Herbaspirillum rubrisubalbicans	nan	32
964	Herbaspirillum seropedicae	nan	32
1276	Kytococcus sedentarius	nan	32
-1	Marinobacter hydrocarbonoclasticus	nan	32
-1	Rhodobacter sphaeroides	nan	32
362837	Spiroplasma cantharicola	nan	32
2133	Spiroplasma citri	nan	32
216934	Spiroplasma corruscae	nan	32
216936	Spiroplasma diminutum	nan	32
216938	Spiroplasma helicoides	nan	32
216942	Spiroplasma litorale	nan	32
216945	Spiroplasma syrphidicola	nan	32
920	Acidithiobacillus ferrooxidans	nan	32,5
28108	Alteromonas macleodii	nan	32,5
292	Burkholderia cepacia	nan	32,5
28095	Burkholderia gladioli	nan	32,5
337	Burkholderia glumae	nan	32,5
536	Chromobacterium violaceum	nan	32,5
191495	Conexibacter woesei	nan	32,5
899	Desulfomicrobium baculatum	nan	32,5
53358	Intrasporangium calvum	nan	32,5
421	Methylomonas methanica	nan	32,5
-1	Mycobacterium abscessus	nan	32,5
2014	Nocardiopsis dassonvillei	nan	32,5
1464	Paenibacillus larvae	nan	32,5
530584	Prauserella marina	nan	32,5
1061	Rhodobacter capsulatus	nan	32,5
1085	Rhodospirillum rubrum	nan	32,5
35806	Rhodovulum sulfidophilum	nan	32,5
24	Shewanella putrefaciens	nan	32,5
1284	Staphylococcus hyicus	nan	32,5
1286	Staphylococcus simulans	nan	32,5
33903	Streptomyces avermitilis	nan	32,5
51669	Tetragenococcus halophilus	nan	32,5
926	Thiomonas intermedia	nan	32,5
-1	Desulfovibrio africanus	nan	33
876	Desulfovibrio desulfuricans	nan	33
-1	Desulfovibrio salexigens	nan	33
881	Desulfovibrio vulgaris	nan	33
29543	Pelobacter propionicus	nan	33
35788	Rickettsia africae	nan	33
787	Rickettsia australis	nan	33
781	Rickettsia conorii	nan	33
35790	Rickettsia japonica	nan	33
33991	Rickettsia montanensis	nan	33
35792	Rickettsia parkeri	nan	33
783	Rickettsia rickettsii	nan	33
35794	Rickettsia slovaca	nan	33
286802	Segniliparus rotundus	nan	33
44674	Sulfurospirillum barnesii	nan	33
-1	[Clostridium] cellulolyticum	nan	33,5
905	Acidaminococcus fermentans	nan	33,5
524	Acidiphilium cryptum	nan	33,5
-1	Actinomyces meyeri	nan	33,5
83263	Aminobacter aminovorans	nan	33,5
47678	Bacteroides caccae	nan	33,5
57975	Burkholderia thailandensis	nan	33,5
1491	Clostridium botulinum	nan	33,5
1492	Clostridium butyricum	nan	33,5
1548	Clostridium scatologenes	nan	33,5
1519	Clostridium tyrobutyricum	nan	33,5
1717	Corynebacterium diphtheriae	nan	33,5
575200	Corynebacterium maris	nan	33,5
39950	Dialister pneumosintes	nan	33,5
