ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
2264	Thermococcus celer	Vu 13	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
1432656	Thermococcus guaymasensis	DSM 11113	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
523849	Thermococcus litoralis	DSM 5473	88	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
940295	Ignicoccus islandicus	DSM 13165	90	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus
768679	Thermoproteus tenax	Kra 1	90	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus
999630	Thermoproteus uzoniensis	768-20	90	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus
490899	Desulfurococcus amylolyticus	1221n	91	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
768672	Desulfurococcus amylolyticus	DSM 16532	91	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
399550	Staphylothermus marinus	F1	92	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus
29292	Pyrococcus abyssi	Orsay	96	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
70601	Pyrococcus horikoshii	OT3	98	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
384616	Pyrobaculum islandicum	DSM 4184	100	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
1185654	Pyrococcus furiosus	COM1	100	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
186497	Pyrococcus furiosus	DSM 3638	100	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
694429	Pyrolobus fumarii	1A	106	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus
415426	Hyperthermus butylicus	DSM 5456	114	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus
238834	Clostridium estertheticum		7	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
1217908	Octadecabacter antarcticus		7	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Octadecabacter
60217	Shewanella violacea		7	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
28229	Colwellia psychrerythraea		9,5	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
53946	Octadecabacter arcticus		9,5	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Octadecabacter
84980	Desulfotalea psychrophila		10	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfotalea
74109	Photobacterium profundum		10	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium
57029	Psychroflexus torquis		12,5	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus
