Name	Strain	Temp	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Genus
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Yersinia pestis	EV76_Vwa+	37.0	632	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia
Porphyromonas gingivalis	W83	37.0	242619	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	W50	37.0	1125722	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	LH9	37.0	837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	WPH15	37.0	837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	WPH34	37.0	837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	HG91	37.0	837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	HG184	37.0	837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Porphyromonas gingivalis	Hg185	37.0	837	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Clostridium acetobutylicum	P262	34.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	22.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	37.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	42.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	22.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	22.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	37.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	37.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	ATCC 824	42.0	272562	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	22.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	37.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	42.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	22.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	22.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	37.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	37.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Clostridium acetobutylicum	SA-2	42.0	1488	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	37.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	30.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	30.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	30.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	30.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	30.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Klebsiella  pneumoniae	nan	30.0	573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Escherichia coli	O157:H7 RIMD0509952	37.0	562	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
